First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Marcel,Marceau,13833958,DS,interviewing celebrities,maintaining a secret identity,playing pranks,causing mayhem,waiting for a hero,preventing crime,finding clues,finding clues,instilling fear in the enemy,hacking into corporate mainframes
Dwight,Eisenhower,18002017,CS,making dumb comedies,appeasing belligerent dictators,writing compelling dialogue,writing bad movies,starring in sit-coms,leading armies into battle,writing novels,hosting a late night chat show,selling out,living amongst apes
Austin,Peck,11196352,DS,revelling in blood spatter,instilling fear in the enemy,causing mayhem,manipulating political pawns,playing pranks,interviewing celebrities,promoting hair products,stealing hamburgers,hacking into corporate mainframes,finding clues
Sofia,Milos,28566013,CS,running a business empire,living amongst apes,writing poetry,ranting about liberals,selling cosmetics,winning heavyweight titles,writing short stories,making bad movie choices,trading in wives,painting over photographs
Jan,Vermeer,22561441,CS,hosting a late night chat show,singing opera arias,leading armies into battle,insulting minorities,writing short stories,singing pop songs,winning heavyweight titles,playing everyman characters,selling fried chicken,starring in pornographic movies
Mark,Gosselaar,54188137,CS,insulting minorities,making antisemitic remarks,gyrating hips,leading armies into battle,interviewing celebrities,making violent movies,studying science,hosting a late night chat show,singing opera arias,living amongst apes
Joe,Jonas,19828264,DS,tracking down criminals,grabbing power,stealing hamburgers,instilling fear in the enemy,performing magic tricks,finding clues,maintaining a secret identity,providing comic relief,waiting for a hero,interviewing celebrities
Gore,Vidal,44544715,DS,playing pranks,instilling fear in the enemy,revelling in blood spatter,waiting for a hero,preening in front of the mirror,playing God,selling comic books,causing mayhem,hacking into corporate mainframes,tending the garden
Kaye,Ballard,78323197,CS,singing torch songs,starring in Hollywood movies,fighting for democracy,running a business empire,moaning about life,ranting about liberals,making bad movie choices,playing everyman characters,studying science,writing short stories
Bono,,58429145,CS,leading armies into battle,writing poetry,throwing TVs out of the windows,singing opera arias,coining sparkling witticisms,singing torch songs,writing bad movies,running a media empire,singing rock songs,ranting about liberals
Victor,Mature,56640760,DS,peacocking in fancy clothes,preening in front of the mirror,waiting for a hero,running a criminal empire,manipulating political pawns,playing pranks,preventing crime,playing God,hacking into corporate mainframes,grabbing power
Mickey,Spillane,41788776,CS,writing modern poetry,starring in pornographic movies,painting over photographs,running a business empire,winning heavyweight titles,starring in Hollywood movies,hosting a late night chat show,gyrating hips,singing pop songs,moaning about life
Hugh,OBrian,39218197,DS,hacking into corporate mainframes,running an empire,selling comic books,causing mayhem,running a criminal empire,promoting hair products,instilling fear in the enemy,promoting the Dark Side,hunting demons,tracking down criminals
Joanne,Woodward,84291072,DS,finding clues,promoting hair products,tracking down criminals,grabbing power,causing mayhem,running an empire,playing God,performing magic tricks,killing demons,peacocking in fancy clothes
J.,Getty,43933011,DS,directing the business of state,finding clues,peacocking in fancy clothes,hacking into corporate mainframes,running an empire,playing God,hunting demons,playing pranks,promoting hair products,instilling fear in the enemy
Harry,Chapin,77769945,CS,starring in Hollywood movies,hosting a late night chat show,trading in wives,making bad movie choices,singing rock songs,selling fried chicken,living amongst apes,writing poetry,leading armies into battle,ruling over subjects
Montel,Williams,33690336,DS,waiting for a hero,peacocking in fancy clothes,avoiding retirement,selling comic books,playing God,performing magic tricks,causing mayhem,grabbing power,promoting hair products,tracking down criminals
Eddie,Cantor,33276202,CS,making new wave movies,living amongst apes,writing novels,leading armies into battle,studying science,publishing soft pornography,making antisemitic remarks,making dumb comedies,hosting a late night chat show,starring in Hollywood movies
Clayton,Moore,34393447,CS,writing poetry,publishing soft pornography,throwing TVs out of the windows,coining sparkling witticisms,writing short stories,making antisemitic remarks,hosting a late night chat show,making action movies,writing compelling dialogue,running a business empire
Vince,Vaughn,10430403,DS,stealing hamburgers,peacocking in fancy clothes,running an empire,causing mayhem,interviewing celebrities,performing magic tricks,avoiding retirement,directing the business of state,hacking into corporate mainframes,running a criminal empire
Walt,Whitman,46210341,DS,tending the garden,defending the weak,finding clues,avoiding retirement,hacking into corporate mainframes,running a clandestine spy organization,promoting hair products,manipulating political pawns,maintaining a secret identity,running a criminal empire
Jean-Paul,Belmondo,66298044,CS,starring in pornographic movies,writing novels,studying science,making new wave movies,singing torch songs,extracting confessions,making antisemitic remarks,writing modern poetry,running a business empire,hosting a late night chat show
Giuseppe,Verdi,53738240,CS,writing bad movies,ruling over subjects,making antisemitic remarks,hosting a late night chat show,starring in sit-coms,singing opera arias,appeasing belligerent dictators,throwing TVs out of the windows,making bad movie choices,making dumb comedies
Bob,Dole,99331001,CS,selling out,winning heavyweight titles,interviewing celebrities,publishing soft pornography,insulting minorities,writing modern fiction,moaning about life,hosting a late night chat show,writing novels,starring in Hollywood movies
Dr.,Spock,43131552,CS,writing compelling dialogue,singing rock songs,singing pop songs,starring in pornographic movies,making violent movies,hosting a late night chat show,throwing TVs out of the windows,winning heavyweight titles,making bad movie choices,painting over photographs
Lotte,Lenya,50727013,CS,starring in Hollywood movies,running a business empire,appeasing belligerent dictators,gyrating hips,writing poetry,studying science,writing bad movies,moaning about life,writing modern poetry,playing everyman characters
Larisa,Oleynik,42119844,DS,running a criminal empire,playing pranks,peacocking in fancy clothes,playing God,selling comic books,promoting hair products,causing mayhem,waiting for a hero,performing magic tricks,grabbing power
Julie,Andrews,30025202,DS,preventing crime,performing magic tricks,interviewing celebrities,grabbing power,causing mayhem,revelling in blood spatter,instilling fear in the enemy,maintaining a secret identity,waiting for a hero,peacocking in fancy clothes
Dom,DeLuise,36193241,CS,gyrating hips,ranting about liberals,singing pop songs,trading in wives,living amongst apes,appeasing belligerent dictators,running a business empire,making bad movie choices,starring in Hollywood movies,making antisemitic remarks
Wolfgang,Puck,40347059,CS,throwing TVs out of the windows,starring in Hollywood movies,running a business empire,ranting about liberals,gyrating hips,writing modern poetry,moaning about life,studying science,starring in romantic comedies,ruling over subjects
Alan,Thicke,83075080,DS,performing magic tricks,defending the weak,peacocking in fancy clothes,studying magic,playing pranks,waiting for a hero,tending the garden,stealing hamburgers,tracking down criminals,playing God
Alvin,Toffler,56787617,DS,avoiding retirement,stealing hamburgers,tracking down criminals,grabbing power,causing mayhem,directing the business of state,hacking into corporate mainframes,performing magic tricks,killing demons,maintaining a secret identity
Cliff,Arquette,36410360,CS,writing modern fiction,writing short stories,singing torch songs,hosting a late night chat show,moaning about life,appeasing belligerent dictators,trading in wives,writing plays,playing everyman characters,writing novels
Henry,Kissinger,42215075,DS,causing mayhem,selling comic books,grabbing power,playing God,peacocking in fancy clothes,running an empire,maintaining a secret identity,providing comic relief,stealing hamburgers,finding clues
Andrew,Johnson,36946459,CS,singing rock songs,throwing TVs out of the windows,fighting for democracy,running a business empire,plotting mutinies,writing poetry,singing torch songs,gyrating hips,making violent movies,playing everyman characters
Michael,Gross,86069055,DS,promoting the Dark Side,selling comic books,finding clues,stealing hamburgers,performing magic tricks,manipulating political pawns,extracting confessions,maintaining a secret identity,peacocking in fancy clothes,instilling fear in the enemy
Greta,Garbo,25932830,CS,writing short stories,appeasing belligerent dictators,moaning about life,living amongst apes,playing everyman characters,running a business empire,hosting a late night chat show,gyrating hips,ranting about liberals,trading in wives
Esther,Williams,97522985,CS,making bad movie choices,trading in wives,running a business empire,making new wave movies,singing torch songs,writing novels,making dumb comedies,ruling over subjects,singing opera arias,singing rock songs
Paul,Mazursky,58130741,CS,making violent movies,appeasing belligerent dictators,selling fried chicken,writing novels,ruling over subjects,publishing soft pornography,living amongst apes,living amongst apes,telling politicians what to do,starring in pornographic movies
Bruce,Catton,58913589,CS,selling cosmetics,hosting a late night chat show,leading armies into battle,winning heavyweight titles,throwing TVs out of the windows,ranting about liberals,making dumb comedies,plotting mutinies,interviewing celebrities,extracting confessions
Lee,Gifford,14350096,CS,writing plays,writing bad movies,writing modern fiction,living amongst apes,living amongst apes,making new wave movies,coining sparkling witticisms,writing modern poetry,playing everyman characters,appeasing belligerent dictators
Dwight,Eisenhower,65350337,CS,trading in wives,coining sparkling witticisms,winning heavyweight titles,making antisemitic remarks,writing short stories,starring in Hollywood movies,appeasing belligerent dictators,writing compelling dialogue,moaning about life,interviewing celebrities
Nick,Carter,85697977,CS,running a media empire,making violent movies,gyrating hips,painting over photographs,interviewing celebrities,publishing soft pornography,coining sparkling witticisms,selling out,hosting a late night chat show,writing compelling dialogue
Elijah,Wood,21152165,DS,killing demons,running a clandestine spy organization,playing God,tracking down criminals,finding clues,manipulating political pawns,instilling fear in the enemy,selling comic books,performing magic tricks,studying magic
Ned,Beatty,28570192,DS,playing God,tracking down criminals,directing the business of state,instilling fear in the enemy,grabbing power,killing demons,performing magic tricks,avoiding retirement,revelling in blood spatter,interviewing celebrities
Phoenix,,62201031,CS,fighting for democracy,coining sparkling witticisms,telling politicians what to do,throwing TVs out of the windows,writing poetry,playing everyman characters,moaning about life,writing short stories,selling fried chicken,publishing soft pornography
Dwight,Yoakam,12219801,DS,manipulating political pawns,hacking into corporate mainframes,running a criminal empire,stealing hamburgers,waiting for a hero,tracking down criminals,playing pranks,preventing crime,instilling fear in the enemy,defending the weak
