First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Santana,,37507819,CS,bending spoons,starring in comedies,studying the cosmos,directing movies,drawing whimsical cartoons,offering advice,throwing sex parties,singing pop songs,giving investment advice,singing melancholy songs
Lord,Baden-Powell,32590906,DS,devising evil schemes,spying on girls,wielding political power,chasing a great white whale,going senile,pedalling engine-less cars,manipulating ingenues,eating dinosaur ribs,analyzing the sub-conscious,poisoning an apple
Malcolm,Forbes,88825506,DS,wielding political power,pinching pennies,devising evil schemes,avenging loved ones,evading mercenaries,solving crimes,writing comedy,introducing cartoons,seducing women,foiling the schemes of evil villains
Cesar,Chavez,18917283,DS,burping,studying science,losing control,devising evil schemes,studying science,avenging loved ones,shagging spies,inventing electrical marvels,seducing women,burying dead hamsters
Cornel,Wilde,41806473,CS,doing raunchy stage acts,singing torch songs,posing for photographs,performing Web searches,starring in Hollywood movies,wielding political power,writing modern fiction,moaning about men,starring in comedies,starring in Hollywood movies
Carl,Lewis,93688451,DS,defending the weak,commanding a pirate ship,analyzing the sub-conscious,running a business empire,chasing a great white whale,burying dead hamsters,preventing crime,losing control,extracting confessions,spying on girls
Gregg,Allman,93965049,CS,making vague predictions,singing pop songs,writing pop songs,running an empire,moaning about men,dressing up in cosplay costumes,selling consumer goods,getting plastic surgery,plotting mutinies,doing raunchy stage acts
Malcolm,X,69503080,DS,defending the weak,fighting the forces of good,losing control,going senile,flipping hamburgers,promoting science,chasing a great white whale,moaning about men,evading mercenaries,inventing electrical marvels
Salman,Rushdie,56913166,CS,performing Web searches,offering advice,promoting feminism,insulting celebrities,singing pop songs,grilling interviewees,running a bureaucracy,posing for photographs,signing sports memorabilia,drawing political cartoons
Gabe,Kaplan,17151245,CS,assassinating presidents,racing fast cars,predicting the future,singing rock songs,hitting home runs,campaigning for social causes,writing modern fiction,interviewing celebrities,pioneering new technologies,singing pop songs
Patti,Smith,89770474,DS,pinching pennies,eluding FBI profilers,commanding a pirate ship,making sarcastic remarks,squandering money,introducing cartoons,moaning about men,solving crimes,defending the weak,avenging loved ones
Johnny,Mercer,89519752,DS,shagging spies,flipping hamburgers,collecting pirate booty,defending the weak,preaching tolerance,studying science,standing up to bullies,working for the forces of darkness,promoting science,burping
Ted,Mack,39240171,CS,promoting healthy eating,getting plastic surgery,building giant walls,drawing political cartoons,dressing up in cosplay costumes,making vague predictions,promoting Catholic values,planting evidence,promoting totalitarianism,hosting a late night chat show
Nat,King-Cole,48989792,CS,building giant walls,hosting a late night chat show,starring in Hollywood movies,pioneering new technologies,writing modern fiction,writing comic books,singing rock songs,singing country music,promoting totalitarianism,wielding political power
Luise,Rainer,27236762,DS,studying science,foiling the schemes of evil villains,chasing a great white whale,working for the forces of darkness,drinking White Russians,eluding imperial storm-troopers,running a business empire,burping,finding clues,squandering money
Osama,Laden,52705046,DS,solving crimes,making sarcastic remarks,standing up to bullies,pinching pennies,squandering money,evading mercenaries,analyzing the sub-conscious,commanding a pirate ship,foiling the schemes of evil villains,drinking White Russians
X.J.,Kennedy,76453784,DS,introducing cartoons,eluding FBI profilers,evading mercenaries,losing control,extracting confessions,flipping hamburgers,drinking White Russians,running a business empire,preaching tolerance,chasing a great white whale
Ray,Price,28997259,DS,seducing women,developing advertising campaigns,shagging spies,devising evil schemes,flipping hamburgers,eating dinosaur ribs,manipulating ingenues,drinking White Russians,studying science,selling fast food
Michael,McDonald,19203127,CS,interviewing celebrities,writing romantic poetry,ranting about liberals,throwing sex parties,writing romantic fiction,writing plays about the middle classes,pioneering new technologies,making vague predictions,raising cain,starring in Hollywood movies
Don,Bendell,36929501,DS,avenging loved ones,avenging loved ones,seducing women,interpreting evidence,poisoning an apple,going senile,commanding a pirate ship,drinking White Russians,introducing cartoons,writing comedy
Cesar,Chavez,73106625,DS,developing advertising campaigns,finding clues,working for the forces of darkness,losing control,moaning about men,studying science,defending the weak,seeking revenge,wielding political power,solving crimes
Jonas,Salk,42428917,CS,campaigning for social causes,studying the cosmos,writing comic books,offering advice,wearing tights,writing modern fiction,writing cook books,singing pop songs,trading in wives,plotting mutinies
John,Ratzenberger,70768133,DS,nurturing sibling rivalry,flipping hamburgers,preventing crime,inventing electrical marvels,spying on girls,shagging spies,foiling the schemes of evil villains,eluding FBI profilers,burying dead hamsters,pinching pennies
Kevin,Cadogan,58559776,DS,studying science,analyzing the sub-conscious,pedalling engine-less cars,burping,manipulating ingenues,seeking revenge,squandering money,seducing women,studying science,cooking for friends
June,Foray,29286916,CS,running a propaganda machine,assassinating presidents,pioneering new technologies,offering advice,writing poetry,promoting conservative values,raising cain,dressing up in cosplay costumes,starring in Hollywood movies,teaching philosophy
Jason,Robards,13549528,CS,telling epic tales,interviewing celebrities,starring in Hollywood movies,selling self-help books,writing pop songs,dressing up in cosplay costumes,doing stand-up,wielding political power,throwing sex parties,seducing emperors
Wilford,Brimley,81126766,DS,manipulating ingenues,defending the weak,working for the forces of darkness,spying on girls,eluding imperial storm-troopers,developing advertising campaigns,chasing a great white whale,promoting capitalism,promoting science,running an empire
Ludwig,Beethoven,82774879,CS,writing political satires,promoting conservative values,giving speeches,making lewd remarks,racing fast cars,singing pop songs,interviewing celebrities,singing rock songs,singing pop songs,flying airplanes
Jacob,Underwood,89053096,CS,singing country music,singing torch songs,singing torch songs,writing comic books,performing Web searches,raising cain,doing stand-up,giving investment advice,predicting the future,selling self-help books
Melanie,Griffith,91802710,CS,singing rock songs,campaigning for social causes,singing pop songs,pioneering new technologies,starring in Hollywood movies,starring in madcap comedies,climbing social ladders,spreading revolution,promoting Objectivism,singing country music
Naseem,Hamed,45276422,DS,foiling the schemes of evil villains,eluding imperial storm-troopers,studying science,hunting rabbits,promoting capitalism,seducing women,finding clues,preaching tolerance,eating dinosaur ribs,defending the weak
Rosa,Parks,49810434,DS,running a business empire,making sarcastic remarks,developing advertising campaigns,evading mercenaries,moaning about men,studying science,losing control,studying science,chasing a great white whale,avenging loved ones
James,Dean,26933668,CS,trading in wives,writing about manly pursuits,starring in comedies,singing pop songs,predicting the future,performing Web searches,plotting mutinies,running a propaganda machine,offering advice,promoting totalitarianism
Jackson,Pollock,33603124,CS,moaning about men,promoting conservative values,pioneering new technologies,offering advice,pioneering new technologies,singing torch songs,offering advice,insulting celebrities,giving speeches,doing stand-up
Lance,Armstrong,33794452,DS,cooking for friends,eluding FBI profilers,preaching tolerance,running an empire,studying science,developing advertising campaigns,introducing cartoons,analyzing the sub-conscious,chasing a great white whale,burying dead hamsters
Mike,Farrell,63543585,CS,promoting pacifism,wearing tights,writing romantic fiction,over-acting,building giant walls,starring in Hollywood movies,racing fast cars,getting plastic surgery,doing stand-up,bending spoons
Eydie,Gorme,36279951,DS,chasing a great white whale,working for the forces of darkness,spying on girls,evading mercenaries,poisoning an apple,cooking for friends,manipulating ingenues,shagging spies,finding clues,eating dinosaur ribs
Louis,Malle,90466601,CS,promoting totalitarianism,throwing sex parties,drawing political cartoons,doing stand-up,singing pop songs,singing pop songs,writing poetry,singing melancholy songs,posing for photographs,wearing tights
Jerome,Robbins,16386941,DS,promoting capitalism,extracting confessions,promoting science,studying science,drinking White Russians,hunting rabbits,seducing women,interpreting evidence,wielding political power,preventing crime
Steve,Winwood,50459617,CS,ranting about liberals,telling epic tales,arguing against capitalism,assassinating presidents,insulting celebrities,making lewd remarks,starring in Hollywood movies,writing cook books,singing pop songs,writing modern fiction
Dan,Rather,30397911,CS,singing melancholy songs,arguing against capitalism,pioneering new technologies,promoting pacifism,giving investment advice,doing raunchy stage acts,starring in Hollywood movies,singing pop songs,selling consumer goods,climbing social ladders
Charles,Barkley,51226171,DS,foiling the schemes of evil villains,preaching tolerance,devising evil schemes,extracting confessions,running a clandestine spy organization,developing advertising campaigns,chasing a great white whale,finding clues,evading mercenaries,losing control
David,Sarnoff,59593454,CS,teaching philosophy,writing poetry,making vague predictions,starring in comedies,directing movies,writing comic books,making insipid musicals,interviewing celebrities,building giant walls,giving speeches
Eddie,Money,43395739,CS,promoting conservative values,singing torch songs,posing for photographs,wielding political power,writing modern fiction,throwing sex parties,starring in madcap comedies,studying the cosmos,promoting totalitarianism,singing pop songs
Zach,Braff,39513051,CS,starring in Hollywood movies,starring in Hollywood movies,running a propaganda machine,writing about manly pursuits,pioneering new technologies,writing poetry,ranting about liberals,plotting mutinies,singing melancholy songs,running a bureaucracy
Andy,Rooney,92529704,DS,talking in riddles,foiling the schemes of evil villains,pinching pennies,preaching tolerance,going senile,introducing cartoons,chasing a great white whale,inventing electrical marvels,manipulating ingenues,seducing women
Bat,Masterson,20231212,CS,performing household chores,building giant walls,over-acting,performing Web searches,pioneering new technologies,writing modern fiction,singing melancholy songs,dressing up in cosplay costumes,telling epic tales,campaigning for social causes
Anthony,Hopkins,48944914,CS,writing romantic poetry,singing pop songs,wearing tights,interviewing celebrities,ranting about liberals,wielding political power,singing pop songs,starring in madcap comedies,writing comic books,promoting totalitarianism
Duane,Allman,10675802,CS,planting evidence,starring in Hollywood movies,ranting about liberals,starring in Hollywood movies,making lewd remarks,starring in madcap comedies,singing torch songs,promoting conservative values,insulting celebrities,teaching philosophy
James,Cagney,31671245,DS,squandering money,evading mercenaries,foiling the schemes of evil villains,commanding a pirate ship,extracting confessions,solving crimes,drinking White Russians,studying science,avenging loved ones,seducing women
Rainn,Wilson,31958273,CS,dressing up in cosplay costumes,offering advice,making idealistic movies,campaigning for social causes,singing torch songs,ranting about liberals,performing household chores,selling consumer goods,starring in Hollywood movies,singing melancholy songs
Paul,Tibbets,83310002,DS,moaning about men,analyzing the sub-conscious,losing control,promoting science,eating dinosaur ribs,shagging spies,nurturing sibling rivalry,extracting confessions,running a clandestine spy organization,defending the weak
Emmett,Kelly,39877692,CS,giving speeches,posing for photographs,promoting totalitarianism,starring in kung-fu movies,singing torch songs,offering advice,over-acting,racing fast cars,moaning about men,running an empire
Julie,Newmar,58816898,DS,running a clandestine spy organization,extracting confessions,going senile,devising evil schemes,solving crimes,collecting pirate booty,preventing crime,inventing electrical marvels,working for the forces of darkness,cooking for friends
Anthony,Burgess,25635363,CS,writing comic books,singing torch songs,pioneering new technologies,starring in kung-fu movies,doing stand-up,promoting feminism,writing plays about the middle classes,writing pop songs,singing rock songs,racing fast cars
Dirk,Bogarde,30820685,DS,working for the forces of darkness,commanding a pirate ship,preaching tolerance,defending the weak,seducing women,preventing crime,foiling the schemes of evil villains,eating dinosaur ribs,eluding FBI profilers,seducing women
M.C.,Escher,67318734,DS,writing comedy,commanding a pirate ship,wielding political power,poisoning an apple,studying science,inventing electrical marvels,pinching pennies,interpreting evidence,promoting science,studying science
Steve,Lawrence,72976825,CS,starring in Hollywood movies,making vague predictions,writing pop songs,making insipid musicals,planting evidence,starring in Hollywood movies,offering advice,trading in wives,doing raunchy stage acts,promoting healthy eating
Carol,Burnett,20733675,CS,spreading revolution,ranting about liberals,starring in madcap comedies,plotting mutinies,dressing up in cosplay costumes,promoting conservative values,wearing tights,starring in Hollywood movies,selling consumer goods,writing poetry
Nelson,Mandela,39543677,DS,interviewing celebrities,running a clandestine spy organization,defending the weak,foiling the schemes of evil villains,burping,losing control,chasing a great white whale,shagging spies,spying on girls,evading mercenaries
Paul,Revere,88483243,DS,making sarcastic remarks,working for the forces of darkness,manipulating ingenues,standing up to bullies,flipping hamburgers,pinching pennies,seducing women,devising evil schemes,hunting rabbits,wielding political power
Flip,Wilson,80518382,DS,pedalling engine-less cars,preventing crime,manipulating ingenues,analyzing the sub-conscious,talking in riddles,standing up to bullies,seeking revenge,devising evil schemes,eluding FBI profilers,drinking White Russians
Billy,Wilder,51609727,DS,eating carrots,studying science,commanding a pirate ship,promoting wickedness,eluding FBI profilers,devising evil schemes,preaching tolerance,studying science,pinching pennies,writing comedy
Oscar,Schindler,47339304,CS,running an empire,singing torch songs,writing modern fiction,spreading revolution,doing stand-up,singing melancholy songs,making insipid musicals,starring in Hollywood movies,writing cook books,studying the cosmos
L.,Hubbard,35030122,CS,flaunting foppish fashions,plotting mutinies,pioneering new technologies,singing torch songs,writing plays about the middle classes,promoting pacifism,drawing political cartoons,starring in Hollywood movies,writing poetry,writing serialized stories
Gene,Wilder,68762625,DS,inventing electrical marvels,introducing cartoons,studying science,burying dead hamsters,seeking revenge,defending the weak,promoting wickedness,shagging spies,eating dinosaur ribs,hunting rabbits
Bert,Parks,43459094,DS,finding clues,devising evil schemes,working for the forces of darkness,poisoning an apple,eating dinosaur ribs,analyzing the sub-conscious,cooking for friends,squandering money,extracting confessions,studying science
Pope,Benedict,21196553,DS,standing up to bullies,analyzing the sub-conscious,interpreting evidence,working for the forces of darkness,poisoning an apple,shagging spies,going senile,inventing electrical marvels,writing comedy,manipulating ingenues
Mr.,Rogers,59097869,CS,making insipid musicals,wielding political power,dressing up in cosplay costumes,promoting Catholic values,pioneering new technologies,building a search engine,performing household chores,ranting about liberals,starring in comedies,writing romantic fiction
Bob,Geldof,92473277,CS,promoting Objectivism,singing torch songs,promoting pacifism,spreading revolution,making vague predictions,monetizing celebrity status,starring in Hollywood movies,starring in kung-fu movies,writing serialized stories,singing rock songs
Christina,Ricci,71535560,DS,foiling the schemes of evil villains,studying science,spying on girls,eating dinosaur ribs,running a business empire,avenging loved ones,poisoning an apple,pinching pennies,defending the weak,evading mercenaries
Barry,Nelson,55012480,CS,arguing against capitalism,promoting Catholic values,singing rock songs,doing stand-up,wielding political power,promoting conservative values,signing sports memorabilia,writing serialized stories,writing cook books,starring in comedies
Bob,Marley,85809809,CS,starring in Hollywood movies,building giant walls,directing movies,writing cook books,singing pop songs,starring in Hollywood movies,posing for photographs,starring in Hollywood movies,trading in wives,running an empire
Thomas,Jefferson,39318878,DS,studying science,defending the weak,promoting science,hunting rabbits,promoting wickedness,writing comedy,cooking for friends,devising evil schemes,eluding FBI profilers,finding clues
Clyde,Barrow,20499309,CS,promoting conservative values,writing pop songs,pioneering new technologies,signing sports memorabilia,singing pop songs,writing about manly pursuits,studying the cosmos,offering advice,selling self-help books,promoting healthy eating
Bill,Hickok,87750169,CS,writing poetry,promoting totalitarianism,signing sports memorabilia,pioneering new technologies,giving investment advice,singing pop songs,selling self-help books,throwing sex parties,starring in madcap comedies,plotting mutinies
Mario,Lemieux,22349025,DS,analyzing the sub-conscious,finding clues,avenging loved ones,defending the weak,solving crimes,flipping hamburgers,promoting wickedness,moaning about men,promoting science,devising evil schemes
Dale,Evans,25644465,CS,breaking records,singing rock songs,interviewing celebrities,writing cook books,arguing against capitalism,starring in kung-fu movies,promoting feminism,wearing tights,plotting mutinies,racing fast cars
Bob,Segar,68279404,CS,singing pop songs,hitting home runs,singing torch songs,monetizing celebrity status,bending spoons,promoting healthy eating,posing for photographs,offering advice,assassinating presidents,dressing up in cosplay costumes
Dr.,Schlessinger,73494849,CS,wearing tights,doing raunchy stage acts,building giant walls,writing cook books,making movies,writing romantic poetry,predicting the future,pioneering new technologies,promoting conservative values,starring in comedies
Steve,Lawrence,83033466,DS,losing control,defending the weak,posing as a street thug,squandering money,devising evil schemes,moaning about men,burying dead hamsters,drinking White Russians,nurturing sibling rivalry,evading mercenaries
Charles,Lindbergh,59112099,CS,grilling interviewees,promoting conservative values,writing about manly pursuits,singing torch songs,throwing sex parties,writing romantic fiction,pioneering new technologies,starring in madcap comedies,singing country music,starring in Hollywood movies
Paul,McCartney,51481584,DS,seducing women,pedalling engine-less cars,preparing for war,finding clues,foiling the schemes of evil villains,studying science,seeking revenge,losing control,squandering money,extracting confessions
Jon,Ramsey,47788400,DS,hunting rabbits,wielding political power,introducing cartoons,developing advertising campaigns,eating dinosaur ribs,finding clues,defending the weak,moaning about men,foiling the schemes of evil villains,promoting capitalism
Martin,Milner,94684438,DS,selling fast food,standing up to bullies,studying science,solving crimes,working for the forces of darkness,cooking for friends,developing advertising campaigns,interpreting evidence,seeking revenge,devising evil schemes
Wendy,Moniz,43750789,CS,starring in kung-fu movies,monetizing celebrity status,writing poetry,singing melancholy songs,writing political satires,making vague predictions,over-acting,promoting pacifism,trading in wives,wielding political power
Richard,Jaeckel,44610826,CS,racing fast cars,promoting feminism,writing comic books,performing household chores,hosting a late night chat show,doing stand-up,doing raunchy stage acts,posing for photographs,campaigning for social causes,interviewing celebrities
Alvin,Toffler,86545687,CS,promoting feminism,interviewing celebrities,making lewd remarks,starring in kung-fu movies,directing movies,making vague predictions,predicting the future,insulting celebrities,pioneering new technologies,over-acting
Alex,Baldwin,87177639,DS,going senile,avenging loved ones,losing control,promoting wickedness,wielding political power,standing up to bullies,running an empire,analyzing the sub-conscious,eluding FBI profilers,seducing women
Lena,Olin,95918388,DS,commanding a pirate ship,promoting science,finding clues,squandering money,studying science,shagging spies,seducing women,preaching tolerance,studying science,devising evil schemes
Arnold,Stang,49194698,DS,preaching tolerance,going senile,squandering money,preventing crime,selling fast food,studying science,shagging spies,writing comedy,running a business empire,inventing electrical marvels
Pamela,Tiffin,58143780,CS,singing pop songs,wearing tights,starring in Hollywood movies,making movies,singing rock songs,writing poetry,insulting celebrities,starring in Hollywood movies,making idealistic movies,shouting in Hollywood movies
Errol,Flynn,40306036,CS,offering advice,singing torch songs,dressing up in cosplay costumes,performing Web searches,singing pop songs,doing stand-up,signing sports memorabilia,plotting mutinies,starring in kung-fu movies,predicting the future
Esther,Williams,94074598,CS,starring in Hollywood movies,doing stand-up,writing romantic fiction,trading in wives,starring in Hollywood movies,ranting about liberals,wielding political power,doing stand-up,singing torch songs,singing torch songs
Dick,Button,96960913,DS,drinking White Russians,selling fast food,manipulating ingenues,talking in riddles,standing up to bullies,preaching tolerance,avenging loved ones,commanding a pirate ship,cooking for friends,burping
Todd,Bridges,91416793,CS,monetizing celebrity status,assassinating presidents,predicting the future,dressing up in cosplay costumes,singing pop songs,pioneering new technologies,writing poetry,writing about manly pursuits,promoting Objectivism,offering advice
Screamin',Hawkins,93497972,DS,preparing for war,foiling the schemes of evil villains,defending the weak,eluding FBI profilers,inventing electrical marvels,analyzing the sub-conscious,losing control,eating dinosaur ribs,finding clues,hunting rabbits
Yasmine,Bleeth,88877440,CS,starring in comedies,making movies,selling self-help books,ranting about liberals,starring in kung-fu movies,raising cain,writing romantic poetry,spreading revolution,ranting about liberals,arguing against capitalism
William,Penn,25691119,CS,promoting Catholic values,ranting about liberals,directing movies,promoting pacifism,offering advice,monetizing celebrity status,writing pop songs,offering advice,signing sports memorabilia,building giant walls
Rue,McClanahan,55815600,CS,writing plays about the middle classes,over-acting,hosting a late night chat show,writing modern fiction,giving investment advice,drawing political cartoons,wielding political power,insulting celebrities,singing country music,monetizing celebrity status
Bill,Murray,64985363,DS,eating dinosaur ribs,foiling the schemes of evil villains,devising evil schemes,evading mercenaries,manipulating ingenues,burying dead hamsters,pinching pennies,seducing women,shagging spies,chasing a great white whale
Al,Capone,69609195,CS,writing modern fiction,trading in wives,wearing tights,starring in comedies,writing romantic poetry,making idealistic movies,promoting feminism,spreading revolution,racing fast cars,singing torch songs
Christopher,Columbus,28738347,DS,burying dead hamsters,squandering money,promoting science,inventing electrical marvels,solving crimes,chasing a great white whale,interpreting evidence,nurturing sibling rivalry,avenging loved ones,standing up to bullies
Michael,Michele,51838583,CS,making idealistic movies,planting evidence,assassinating presidents,making insipid musicals,writing poetry,promoting Catholic values,ranting about liberals,getting plastic surgery,wielding political power,writing modern fiction
Charles,Bukowski,48884420,DS,running an empire,spying on girls,eating dinosaur ribs,eluding FBI profilers,standing up to bullies,developing advertising campaigns,losing control,poisoning an apple,avenging loved ones,promoting wickedness
Hans,Conried,89506922,CS,predicting the future,performing household chores,promoting pacifism,signing sports memorabilia,promoting conservative values,starring in madcap comedies,over-acting,campaigning for social causes,arguing against capitalism,singing torch songs
Coleman,Hawkins,57373971,CS,pioneering new technologies,racing fast cars,singing rock songs,trading in wives,writing about manly pursuits,running an empire,throwing sex parties,wielding political power,writing serialized stories,doing stand-up
