First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Connie,Mack,89621275,CS,exploring foreign countries,promoting racial harmony,pouting on camera,opening a new front,hitting home runs,singing Hipbop songs,writing pop songs,enriching uranium,shopping for shoes,making action movies
Jack,Lemmon,35300437,DS,playing pranks,playing God,solving mysteries,studying magic tricks,waiting for a hero,promoting mysticism,hosting anodyne game shows,appreciating vintage collectibles,winning heavyweight titles,solving mysteries
Wild,Hickok,84067152,CS,chasing interns,starring in Hollywood movies,reading braille,singing rock songs,running an empire,currying favour,starring in romantic comedies,hunting raccoons,reporting the news,popping Viagra
Kurt,Russell,92290004,CS,building rocket ships,testing scientific theories,running a business empire,causing political scandals,promoting air travel,throwing Bunga Bunga parties,starring in Hollywood movies,drawing whimsical cartoons,singing melancholy songs,campaigning for social causes
Steven,Jobs,54658839,CS,promoting Eastern philosophy,playing ice hockey,starring in Hollywood movies,singing opera arias,singing pop songs,fomenting social revolution,pedalling furiously,playing classical piano,developing military strategies,currying favour
Gloria,Stuart,77671671,CS,selling perfumes,starring in indy movies,starring in romantic comedies,painting abstract pictures,selling cosmetics,popping Viagra,singing middle-of-the-road songs,abusing power,writing mystery stories,playing drums
Larry,Guy,33589847,DS,falling gracefully,singing parody songs,chasing flappers,foiling the schemes of evil villains,starting thunderstorms,going on commando missions,laughing at God,incurring debts,piloting the Millenium Falcon,running a criminal enterprise
Nelson,Piquet,62196206,DS,fighting for the rebel alliance,fighting with swords,standing up to bullies,cooking for friends,belching,punishing criminals,seeking revenge,devising evil schemes,collecting bounties on runaways,poisoning an apple
Justin,Bieber,84261221,DS,fighting with swords,pulling pranks,spying on girls,looking for hidden treasures,reading minds,providing comic relief,carrying secret plans,studying icons,hunting demons,fighting with swords
Henri,Mancini,49744020,DS,running a hotel,promoting mysticism,performing magic tricks,studying science,making action movies,promoting liberal values,mangling idioms,smoking Silk Cut cigarettes,pulling pranks,organizing armed robberies
Billy,Williams,95253961,CS,singing Hipbop songs,currying favour,moaning about men,campaigning for the presidency,playing ice hockey,ruling over subjects,writing modern fiction,directing movies,starring in Hollywood movies,starring in TV shows
Jan,Hooks,81267890,DS,causing mayhem,looking for hidden treasures,exploring darkest Africa,hosting anodyne game shows,planning adultery,postulating bizarre theories,chasing flappers,promoting mysticism,hacking into computers,standing up to bullies
Redd,Foxx,53138240,CS,singing pop songs,starring in indy movies,directing comedies,abusing power,campaigning for the presidency,starring in romantic comedies,singing pop songs,pretending to fight,writing pop songs,giving speeches
Natalie,Wood,83093151,DS,looking after children,fighting in gladiator arenas,mangling idioms,ranting about conservatives,disappointing suitors,teaching magic,running a clandestine spy organization,foiling the schemes of evil villains,providing comic relief,collecting pirate booty
Eric,Sevareid,46925987,CS,surviving fatwas,writing historical fiction,winning boxing matches,robbing banks,throwing fund-raisers for Parkinson's disease,painting abstract pictures,writing pop songs,starring in romantic comedies,running a new-age website,shopping for shoes
Al,Roker,71530547,DS,smoking cigars,running an empire,pursuing criminals,providing comic relief,solving mysteries,winning heavyweight titles,flipping hamburgers,causing mayhem,saying grace,teaching magic
Paul,Winfield,63538107,CS,writing folksy fiction,pioneering new technologies,trading in wives,making action movies,fighting for civil rights,running a crime family,telling zany jokes,singing the blues,ruling over subjects,drawing whimsical cartoons
Hendrik,Meijer,51085181,CS,writing historical fiction,currying favour,playing drums,writing modern fiction,singing pop songs,singing the blues,playing everyman characters,pioneering new technologies,writing blues songs,testing scientific theories
Brett,Hull,83168386,CS,winning battles,promoting charity,moaning about men,selling cosmetics,singing rock songs,selling consumer goods,running a crime family,pedalling furiously,currying favour,writing pop songs
Matt,Groening,75066382,CS,writing pop songs,stabbing in the back,starring in action movies,playing everyman characters,running for the presidency,throwing Bunga Bunga parties,peacocking in fancy clothes,selling cosmetics,shopping for shoes,writing pop songs
Patricia,Neal,26713070,DS,promoting liberal values,studying magic tricks,practicing the Occult,spying on girls,running a criminal enterprise,planning adultery,hunting serial killers,promoting mysticism,stealing hamburgers,guarding the galaxy
Adam,Brody,18855781,CS,running a business empire,knocking out opponents,popping Viagra,singing melancholy songs,playing baseball,ranting about liberals,promoting charity,starring in Hollywood movies,changing privacy settings,moaning about men
Raquel,Welch,76771560,CS,writing romantic poetry,currying favour,starring in Hollywood movies,starring in Hollywood movies,abusing power,singing pop songs,playing drums,plotting strategies,singing melancholy songs,writing erotic fiction
Augustus,Caesar,60010984,CS,popping Viagra,writing blues songs,winning boxing matches,campaigning for the presidency,healing the sick,running a new-age website,enriching uranium,singing pop songs,selling cosmetics,reading braille
W.C.,Fields,30629293,DS,giving noogies,foiling the schemes of evil villains,studying magic,tempting fate,waiting for a hero,interviewing politicians,playing rock guitar,impersonating women,smoking Silk Cut cigarettes,running a hotel
Saul,Bellow,31725979,CS,starring in madcap comedies,bridging cultures,running a crime family,playing everyman characters,writing erotic fiction,singing pop songs,telling zany jokes,starring in Hollywood movies,throwing fund-raisers for Parkinson's disease,writing mystery stories
Jesse,White,16103541,DS,promoting mysticism,pursuing criminals,plotting against family members,hosting educational films,foiling the schemes of evil villains,starring in animated movies,running an empire,pioneering new technologies,solving crimes,teaching magic
Steve,Yzerman,94083353,CS,singing pop songs,developing operating systems,singing blues songs,bridging cultures,reporting the news,campaigning for social causes,changing privacy settings,moaning about men,singing the blues,shouting in Hollywood movies
Woody,Allen,74018541,CS,pioneering new technologies,knocking out opponents,giving speeches,fomenting social revolution,hiding from the public,singing middle-of-the-road songs,campaigning for social causes,promoting racial harmony,singing pop songs,running a new-age website
Alex,Karras,95557431,CS,singing blues songs,painting self-portraits,writing pop songs,knocking out opponents,pioneering new technologies,promoting air travel,chasing starlets,singing melancholy songs,writing pop songs,fomenting social revolution
Joni,Mitchell,70434485,CS,playing ice hockey,moaning about men,writing modern fiction,testing scientific theories,robbing banks,pushing anti-trust legislation,healing the sick,singing pop songs,winning boxing matches,running a multinational corporation
Jaden,Smith,15330400,CS,painting self-portraits,interviewing politicians,stabbing in the back,winning boxing matches,starring in madcap comedies,avoiding taxes,smoking Boyard cigarettes,developing operating systems,promoting hair products,singing pop songs
Claude,Debussy,89969110,DS,pioneering new technologies,solving mysteries,reading the news,looking for hidden treasures,playing rock guitar,promoting capitalism,reading minds,promoting mysticism,ranting about conservatives,studying icons
Ray,Bradbury,45029922,CS,delivering forehand slams,popping Viagra,peacocking in fancy clothes,defending plaintiffs,abusing power,starring in Hollywood movies,writing about manly pursuits,singing pop songs,starring in TV shows,causing political scandals
Clayton,Moore,67689626,CS,selling cosmetics,making fantasy movies,pouting on camera,starring in Hollywood movies,robbing banks,running a multinational corporation,talking up the economy,singing pop songs,driving fast cars,reporting the news
Meshach,Taylor,54916566,CS,teaching philosophy to future leaders,starring in madcap comedies,making madcap comedies,ranting about liberals,modeling DNA,writing rock songs,fighting for civil rights,composing classical music,causing political scandals,singing opera arias
Lesley,Stahl,40718073,CS,running a business empire,exploring foreign countries,singing pop songs,selling illegal alcohol,singing blues songs,planning tank battles,playing the banjo,writing about manly pursuits,winning boxing matches,interviewing politicians
Erin,Hershey,75860497,CS,ruling over subjects,playing classical piano,writing modern fiction,ruling over subjects,fighting with swords,promoting racial harmony,fighting for democracy,starring in Hollywood movies,starring in Hollywood movies,bridging cultures
Maria,Tallchief,21375953,CS,painting abstract pictures,running an empire,singing pop songs,fighting for civil rights,ranting about liberals,opening a new front,developing military strategies,throwing Bunga Bunga parties,going slowly mad,coining sparkling witticisms
Roseanne,,56603592,DS,practicing the Occult,promoting liberal values,hosting educational films,preparing for war,slashing victims,running a criminal enterprise,hacking into computers,hunting serial killers,studying science,fighting for justice
Nancy,Walker,86583216,CS,hiding from the public,writing modern fiction,composing classical music,working out,writing erotic fiction,singing rock songs,playing the organ,starring in Hollywood movies,singing blues songs,opening a new front
Roger,Mudd,16020073,CS,pretending to fight,avoiding taxes,promoting air travel,singing pop songs,pioneering new technologies,making fantasy movies,starring in Hollywood movies,painting colorful pictures,singing pop songs,singing blues songs
Lewis,Carrol,59801357,DS,reading minds,tempting fate,teaching magic,slashing victims,starring in animated movies,cheating at golf,promoting the Dark Side,promoting capitalism,buying on credit,preparing for war
Russell,Crowe,28214067,DS,planning adultery,running a hotel,hunting serial killers,preventing crime,belching,looking after children,tempting fate,seeking revenge,stealing hamburgers,standing up to bullies
Cedric,Entertainer,44259900,DS,poisoning an apple,starting thunderstorms,handing out flowers,fighting for the rebel alliance,studying science,pulling pranks,studying magic tricks,interpreting evidence,performing magic tricks,creating monsters
Alfred,Kinsey,13405294,DS,running an empire,ranting about conservatives,pioneering new technologies,reading minds,solving mysteries,swinging on a perch,hosting anodyne game shows,standing up to bullies,studying science,developing new technologies
Chubby,Checker,73717446,DS,singing parody songs,disappointing suitors,teaching magic,fighting for justice,promoting the Dark Side,impersonating women,devising evil schemes,planning adultery,collecting pirate booty,chasing flappers
Picabo,Street,12534300,DS,squabbling on television,waiting for a hero,creating monsters,seeking revenge,fighting with swords,running an empire,tempting fate,chasing flappers,playing poker badly,planning adultery
Priscilla,Presley,25192739,CS,pulling dirty political tricks,fighting for civil rights,promoting air travel,leaking state secrets,watching TV,singing blues songs,playing ice hockey,whining at umpires,ranting about liberals,making madcap comedies
Walter,Winchell,12168732,CS,fighting with swords,driving fast cars,playing tough guys,starring in madcap comedies,making madcap comedies,campaigning for the presidency,shouting in Hollywood movies,coining sparkling witticisms,watching TV,bridging cultures
Bob,Geldof,50870701,CS,going slowly mad,peacocking in fancy clothes,interviewing politicians,ranting about liberals,planning tank battles,developing military strategies,chasing interns,writing about manly pursuits,hitting home runs,reading braille
Gordon,Jump,33100127,DS,saying grace,devising evil schemes,starting thunderstorms,making sarcastic remarks,inventing electrical marvels,going bowling,making patronising comments,playing poker badly,disappointing suitors,singing parody songs
Beyonce,Knowles,48795201,CS,singing the blues,pushing anti-trust legislation,making action movies,running gentleman's clubs,enriching uranium,seducing emperors,leaking state secrets,painting abstract pictures,playing drums,playing baseball
Santa,Claus,63829344,CS,singing rock songs,writing blues songs,fighting with swords,writing pop songs,running a crime family,singing rock songs,singing pop songs,smoking Boyard cigarettes,going slowly mad,writing mystery stories
Melinda,Gates,14782038,CS,running a new-age website,singing the blues,selling consumer goods,whining at umpires,pioneering new technologies,writing historical fiction,popping Viagra,promoting air travel,cross-dressing in women's clothes,pulling dirty political tricks
Richard,Carpenter,95399704,CS,directing comedies,working out,seducing emperors,reporting the news,popping Viagra,starring in Hollywood movies,singing pop songs,playing everyman characters,playing the piano,defending plaintiffs
Clark,Gable,23269851,CS,robbing banks,playing ice hockey,interviewing politicians,singing melancholy songs,playing everyman characters,smoking Boyard cigarettes,running a business empire,writing rock songs,campaigning for the presidency,singing rock songs
Elton,John,38187263,CS,ranting about liberals,writing plays,bridging cultures,promoting racial harmony,smoking Boyard cigarettes,changing privacy settings,selling illegal alcohol,planning tank battles,pioneering new technologies,playing the violin
Dana,Carvey,25613116,CS,writing rap songs,developing operating systems,campaigning for the presidency,starring in romantic comedies,directing movies,fighting for democracy,starring in romantic comedies,giving speeches,composing classical music,singing pop songs
William,Shatner,33741497,CS,starring in Hollywood movies,selling consumer goods,interviewing politicians,abusing power,singing the blues,trading in wives,writing mystery stories,writing historical fiction,causing political scandals,singing Hipbop songs
Leo,Carroll,41845952,CS,fighting for civil rights,singing pop songs,writing novels,stabbing in the back,working out,enriching uranium,promoting capitalism,making dumb comedies,starring in romantic comedies,singing rock songs
Dave,Chappelle,27069273,DS,seducing miltary officers,studying magic tricks,falling gracefully,piloting the Millenium Falcon,teaching magic,studying magic tricks,plotting against family members,solving mysteries,defending the weak,hacking into computers
Kirsten,Dunst,15001633,CS,testing scientific theories,launching a war,appeasing belligerent dictators,winning boxing matches,running a new-age website,campaigning for the presidency,talking up the economy,starring in pornographic movies,writing modern fiction,starring in Hollywood movies
Aristotle,,91735999,DS,studying icons,tempting fate,buying on credit,hosting educational films,singing parody songs,appearing in infomercials,studying science,starring in comedies,incurring debts,promoting liberal values
Louis,Tiffany,74104995,CS,fomenting social revolution,avoiding taxes,starring in Hollywood movies,playing aggressive chess,playing the piano,popping Viagra,writing Hollywood movies,ranting about liberals,starring in Hollywood movies,promoting Catholic values
Robbie,Coltrane,49324092,DS,solving mysteries,fighting in gladiator arenas,interviewing politicians,hosting educational films,practicing the Occult,going on commando missions,teaching magic,singing parody songs,buying on credit,appearing in infomercials
Julie,Kavner,84392907,DS,buying on credit,running an empire,making action movies,going bowling,solving mysteries,winning heavyweight titles,studying science,pulling pranks,pulling capers,defending the weak
Bob,Dorough,28137314,DS,ranting about conservatives,studying science,pulling pranks,spying on girls,standing up to bullies,starting thunderstorms,being a good neighbor,falling gracefully,preparing for war,poisoning an apple
Bedrich,Smetana,80594946,CS,writing blues songs,fighting for civil rights,making dumb comedies,starring in Hollywood movies,running a business empire,starring in Hollywood movies,fighting for democracy,robbing banks,fomenting social revolution,writing romantic poetry
Damon,Wayans,10290765,DS,collecting pirate booty,running an empire,running a criminal enterprise,preparing for war,running a hotel,running a criminal enterprise,pulling pranks,rescuing aristocrats,solving mysteries,studying magic
Spencer,Tracy,87293408,CS,ruling over subjects,writing modern fiction,running a multinational corporation,changing privacy settings,singing middle-of-the-road songs,cross-dressing in women's clothes,reporting the news,writing blues songs,selling consumer goods,running a new-age website
Marlene,Dietrich,65550141,CS,whining at umpires,popping Viagra,starring in Hollywood movies,winning battles,opening a new front,writing modern fiction,shouting in Hollywood movies,writing pop songs,running for the presidency,reading braille
Merle,Haggard,21660060,CS,painting colorful pictures,shouting in Hollywood movies,singing pop songs,singing the blues,starring in action movies,teaching philosophy to future leaders,making fantasy movies,singing rock songs,ruling over subjects,playing the violin
Dewey,Bunnell,49793583,CS,avoiding taxes,writing novels,playing ice hockey,writing pop songs,writing plays,getting plastic surgery,singing rock songs,writing modern fiction,directing movies,delivering forehand slams
Jean,Piaget,21694359,CS,ranting about liberals,writing pop songs,avoiding taxes,abusing power,talking up the economy,writing modern fiction,exploring foreign countries,pushing anti-trust legislation,leaking state secrets,changing privacy settings
Chuck,Yeager,58202020,DS,keeping accounts,performing magic tricks,reading minds,fighting in gladiator arenas,postulating bizarre theories,plotting against family members,playing poker badly,fighting with swords,waiting for a hero,saying grace
John,Ford,32976170,CS,singing rock songs,running a business empire,developing operating systems,over-acting,watching TV,bridging cultures,singing melancholy songs,writing modern fiction,singing pop songs,making madcap comedies
Vanessa,Carlton,54673834,CS,promoting air travel,singing pop songs,composing classical music,peacocking in fancy clothes,running a business empire,writing modern fiction,ranting about liberals,avoiding taxes,starring in Hollywood movies,ranting about liberals
Rex,Reed,85712880,CS,directing movies,bridging cultures,driving fast cars,defending plaintiffs,making madcap comedies,enriching uranium,wielding political power,coining sparkling witticisms,currying favour,pretending to fight
Jackie,Chan,36713180,CS,promoting racial harmony,opening a new front,knocking out opponents,campaigning for the presidency,teaching philosophy to future leaders,talking up the economy,ruling over subjects,composing classical music,singing pop songs,running a new-age website
David,Brinkley,88685991,DS,teaching magic,falling gracefully,going bowling,poisoning an apple,starting thunderstorms,promoting liberal values,starring in comedies,frowning at errant husbands,seducing miltary officers,devising evil schemes
Aidan,Quinn,25570665,CS,selling airline seats,making action movies,promoting hair products,throwing fund-raisers for Parkinson's disease,writing pop songs,fomenting social revolution,painting abstract pictures,popping Viagra,campaigning for the presidency,promoting Eastern philosophy
Gilda,Radner,13996071,DS,going on commando missions,standing up to bullies,ranting about conservatives,performing magic tricks,solving crimes,falling gracefully,pulling pranks,developing new technologies,teaching magic,foiling the schemes of evil villains
Bette,Davis,55498172,DS,defending the weak,exploring darkest Africa,pulling pranks,solving mysteries,teaching magic,studying symbols,cross-dressing in women's clothes,interviewing politicians,eluding Republicans,promoting mysticism
Bill,Moyers,30599456,CS,throwing fund-raisers for Parkinson's disease,starring in musical comedies,running a multinational corporation,fighting for democracy,avoiding taxes,pulling dirty political tricks,pouting on camera,starring in Hollywood movies,starring in madcap comedies,throwing Bunga Bunga parties
Darryl,Strawberry,90704283,CS,writing modern fiction,opening a new front,starring in TV shows,starring in Hollywood movies,building giant walls,running a business empire,testing scientific theories,selling cosmetics,burning with envy,plotting strategies
Tia,Carrere,65619228,DS,smoking Silk Cut cigarettes,disappointing suitors,studying magic,appreciating vintage collectibles,spying on girls,standing up to bullies,cooking for friends,spying on girls,playing rock guitar,piloting the Millenium Falcon
John,Travolta,78039134,CS,playing tough guys,changing privacy settings,writing folksy fiction,writing about manly pursuits,campaigning for social causes,singing blues songs,running a new-age website,winning battles,writing romantic poetry,surviving fatwas
Kelly,Clarkson,12121667,DS,running an empire,making patronising comments,looking after children,practicing the Occult,hunting demons,solving mysteries,making action movies,performing magic tricks,promoting liberal values,poisoning an apple
Oliver,Hardy,20508102,DS,plotting against family members,interpreting evidence,teaching magic,solving mysteries,hunting demons,appreciating vintage collectibles,keeping accounts,spying on girls,exploring darkest Africa,inventing electrical marvels
Carl,Bernstein,30176971,DS,running a criminal enterprise,slashing victims,preventing crime,fighting in gladiator arenas,following clues,providing comic relief,hunting demons,hosting anodyne game shows,fighting for justice,solving mysteries
Rocky,Colavito,66846967,DS,providing comic relief,interpreting evidence,appreciating vintage collectibles,standing up to bullies,fighting for justice,postulating bizarre theories,hosting anodyne game shows,fighting in gladiator arenas,promoting liberal values,stealing hamburgers
Sonia,Sotomayor,37984588,DS,fighting decepticons,looking after children,rescuing aristocrats,running an empire,practicing the Occult,running a hotel,planning adultery,promoting the Dark Side,singing parody songs,playing rock guitar
Chris,ODonnell,27145358,DS,hosting educational films,pulling pranks,hosting anodyne game shows,playing pranks,pioneering new technologies,solving crimes,exploring darkest Africa,tempting fate,rescuing aristocrats,causing mayhem
Patrick,Roy,35369226,CS,campaigning for the presidency,leaking state secrets,teaching philosophy to future leaders,starring in TV shows,whining at umpires,running an empire,playing drums,running a kingdom,winning boxing matches,winning battles
Chuck,Daly,39449420,DS,interpreting evidence,disappointing suitors,pulling capers,buying on credit,slashing victims,hunting serial killers,frowning at errant husbands,seeking revenge,reading minds,rescuing aristocrats
Edouard,Manet,33767189,DS,hacking into computers,running an empire,studying science,starting thunderstorms,hunting serial killers,solving mysteries,stealing hamburgers,postulating bizarre theories,spying on girls,causing mayhem
Joseph,Barbera,81940469,CS,selling cosmetics,currying favour,reporting the news,playing classical piano,starring in Hollywood movies,starring in indy movies,appeasing belligerent dictators,opening a new front,writing pop songs,singing Hipbop songs
Laszlo,Kovacs,58593894,CS,promoting hair products,robbing banks,selling cosmetics,going slowly mad,promoting Eastern philosophy,exploring foreign countries,writing novels,singing blues songs,winning battles,starring in Hollywood movies
Ray,Bolger,79977948,CS,playing classical piano,winning battles,pedalling furiously,testing scientific theories,writing modern fiction,peacocking in fancy clothes,working out,exploring foreign countries,running a new-age website,writing pop songs
M.,C.-Hammer,99682026,CS,campaigning for social causes,fighting for democracy,talking up the economy,singing pop songs,singing melancholy songs,leaking state secrets,pouting on camera,singing pop songs,seducing emperors,painting abstract pictures
Tom,Scholz,17763347,CS,singing pop songs,running gentleman's clubs,writing romantic poetry,fighting for democracy,shouting in Hollywood movies,starring in action movies,robbing banks,over-acting,promoting capitalism,hunting raccoons
Patrick,Roy,51713588,DS,organizing armed robberies,fighting with swords,stealing hamburgers,seducing miltary officers,starting thunderstorms,solving crimes,preparing for war,hacking into computers,planning adultery,waging a secret war
Helen,Hayes,83359189,DS,rescuing damsels in distress,promoting liberal values,hosting educational films,providing comic relief,pursuing criminals,rescuing aristocrats,foiling the schemes of evil villains,commanding a spaceship,going on commando missions,fighting decepticons
Lennox,Lewis,18821178,CS,starring in Hollywood movies,fighting with swords,running a kingdom,selling airline seats,pioneering new technologies,singing blues songs,making dumb comedies,running a new-age website,starring in TV shows,starring in musical comedies
Michael,Fox,96311957,DS,studying magic tricks,fighting with swords,starting thunderstorms,falling gracefully,frowning at errant husbands,pioneering new technologies,disappointing suitors,hacking into computers,looking for hidden treasures,hunting demons
Davy,Crockett,86087176,DS,spying on girls,studying icons,devising evil schemes,exploring darkest Africa,teaching magic,running an empire,cooking the books,keeping accounts,tempting fate,treating diseases
Brian,McKnight,46648302,CS,inventing electrical marvels,playing classical piano,writing historical fiction,starring in Hollywood movies,leaking state secrets,making action movies,building giant walls,reading braille,singing opera arias,running gentleman's clubs
Phyllis,George,45600154,CS,modeling DNA,selling consumer goods,leaking state secrets,playing the banjo,coining sparkling witticisms,knocking out opponents,starring in Hollywood movies,making dumb comedies,starring in TV shows,pioneering new technologies
Barack,Obama,33876272,CS,writing erotic fiction,working out,writing pop songs,running for the presidency,writing Hollywood movies,hiding from the public,starring in Hollywood movies,changing privacy settings,singing rock songs,singing pop songs
Tony,Richardson,20877323,CS,interviewing politicians,starring in Hollywood movies,fighting for civil rights,pioneering new technologies,campaigning for the presidency,playing the piano,promoting hair products,going slowly mad,promoting Eastern philosophy,building giant walls
