Staff Name,Research Activity,Stream,Preferred Probability
Michael Schumacher,driving fast cars,CS+DS,0.24321492888708204
Clint Eastwood,directing movies,CS+DS,0.20029189984584356
Lucille Ball,starring in madcap comedies,CS,0.37508491929302434
Queen Elizabeth I,ruling over subjects,CS+DS,0.21915999716319004
Harry S. Truman,campaigning for the presidency,CS,0.17517420018563393
Harvey Dent,tempting fate,DS,0.3687307662730265
Harry Potter,studying magic tricks,DS,0.31379221252654105
Joe DiMaggio,playing baseball,CS+DS,0.34966729474678876
James Bond,killing for Mi6,DS,0.02740082008624447
Jesus Christ,promoting charity,CS,0.26798448111181844
Davy Crockett,hunting raccoons,CS,0.24113285408973106
James Comey,ordering wire-taps,CS,0.013644630187871964
Nancy Drew,solving crimes,DS,0.3095845661201435
Cameron Diaz,starring in romantic comedies,CS+DS,0.35474925352923137
Woody Allen,directing comedies,CS,0.2520160666297702
Reince Priebus,promoting conservative values,CS,0.028091130692854325
Sterling Archer,going on commando missions,DS,0.3619700703713498
Tony Soprano,running an empire,DS,0.2507093398990782
Lando Calrissian,fighting for the rebel alliance,DS,0.26686331165682353
Hulk Hogan,pretending to fight,CS+DS,0.301988287108028
Ella Fitzgerald,singing the blues,CS,0.3918212743303121
Morgana Le Fay,teaching magic,DS,0.3807040707386796
Ray Charles,singing pop songs,CS+DS,0.10141180752882294
Wilkins Micawber,incurring debts,DS,0.18266498856870447
Harry Houdini,escaping from water tanks,CS+DS,0.2460820195550626
Coco Chanel,selling perfumes,CS,0.13661997389054342
Liza Minnelli,over-acting,CS,0.3120662838175586
Nikola Tesla,pioneering new technologies,CS,0.3723042759698244
Lee Marvin,playing tough guys,CS,0.169586894499901
Walt Disney,running theme parks,CS,0.04245735453622527
Francis Crick,modeling DNA,CS+DS,0.09561934285829064
Bertie Wooster,chasing flappers,DS,0.30181057064397654
Wilkins Micawber,buying on credit,DS,0.3989398880865542
Ned Flanders,being a good neighbor,DS,0.1989668495035413
Babe Ruth,hitting home runs,CS,0.35829889460038244
