First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Pel�,,23046245,CS,writing pop songs,causing political scandals,studying mathematics,changing sides,writing on wax tablets,running races,signing sports memorabilia,writing comedy,ruling over subjects,promoting humanism
Max,Sydow,29348342,CS,singing pop songs,running a media empire,starring in Hollywood movies,doing stand-up,singing pop songs,selling cheap airline seats,defending the weak,divorcing husbands,winning heavyweight titles,organizing mass suicides
Sandra,Dee,93484767,DS,climbing social ladders,disposing of unwanted jewelry,running a criminal empire,causing mayhem,poisoning an apple,hosting anodyne game shows,running an empire,kicking ass,watching MacGyver reruns,collecting stamps
Ally,Sheedy,75251741,DS,watching MacGyver reruns,solving crimes,kicking ass,cooking for friends,running a criminal empire,finding clues,avoiding retirement,climbing social ladders,interviewing celebrities,saving money
Tom,Mix,92521133,CS,running races,developing new technologies,changing sides,doing stand-up,cross-dressing in women's clothes,studying mathematics,selling consumer goods,collecting rock samples,fighting for democracy,singing pop songs
Dr.,Spock,78241075,CS,studying mathematics,winning swimming competitions,running a media empire,organizing mass suicides,singing pop songs,developing new technologies,writing blues songs,changing sides,signing sports memorabilia,writing pop songs
Sam,Waterston,36137684,DS,finding clues,hosting anodyne game shows,developing cunning plans,running a criminal enterprise,watching MacGyver reruns,developing new technologies,running a hotel,running a criminal empire,surviving in the 25th century,spying on girls
John,Larroquette,82880916,CS,promoting humanism,singing punk rock songs,singing pop songs,running races,starring in Hollywood movies,cozying up to conservatives,composing classical music,singing pop songs,writing pop songs,starring in comedies
Malcolm,X,18257185,DS,solving mysteries,surviving in the 25th century,poisoning an apple,guarding the galaxy,striving for world domination,running an empire,causing mayhem,avoiding growing old,obeying annoying rules,solving crimes
Bob,Marley,93861234,CS,running races,writing blues songs,composing classical music,studying mathematics,playing the violin,issuing threats,promoting conservative values,drawing whimsical cartoons,studying mathematics,singing opera arias
Anne,Rice,52895018,DS,doing the Charleston,hosting anodyne game shows,striving for world domination,fighting barbarian hordes,avoiding growing old,making silly decisions,obeying annoying rules,devising evil schemes,providing comic relief,spreading Christianity
Will,Rogers,53844817,DS,causing mayhem,avoiding retirement,kicking ass,solving mysteries,avoiding growing old,waiting for a hero,promoting tolerance,running a software company,running a hotel,hosting anodyne game shows
Alberto,Santos-Dumont,97865505,DS,causing mayhem,saving money,hunting aliens,providing comic relief,surviving in the 25th century,plotting election strategies,finding clues,running a criminal enterprise,writing comedy,making silly decisions
Bram,Stoker,84838672,CS,writing pop songs,launching foreign wars,treating the injured,singing Hipbop songs,selling cheap airline seats,promoting humanism,wielding political power,drawing whimsical cartoons,singing pop songs,campaigning for social causes
Demi,Moore,58040405,DS,practicing the Occult,kicking ass,climbing social ladders,looking for immortality,terrorizing employees,interviewing celebrities,solving crimes,solving mysteries,reporting the news,finding clues
Shawn,Johnson,35269189,CS,cozying up to conservatives,running a media empire,promoting evolutionary theory,signing sports memorabilia,defending the weak,winning swimming competitions,running a propaganda machine,singing pop songs,campaigning for social causes,collecting rock samples
Lou,Costello,64595678,DS,developing cunning plans,running a software company,cooking for friends,obeying annoying rules,running a criminal enterprise,solving crimes,running a hotel,finding clues,practicing the Occult,poisoning an apple
Diahann,Carroll,63798977,DS,developing new technologies,starring in animated movies,climbing social ladders,interviewing politicians,making sarcastic remarks,solving mysteries,impersonating women,promoting tolerance,solving mysteries,solving crimes
Chad,Brannon,55102268,DS,looking for immortality,leading tour groups,writing comedy,practicing the Occult,spying on girls,developing cunning plans,interviewing celebrities,causing mayhem,reporting the news,solving crimes
James,Fox,10159071,DS,commanding a whaling ship,impersonating women,avoiding growing old,running a hotel,running a criminal enterprise,terrorizing employees,causing mayhem,running a software company,promoting tolerance,kicking ass
Allen,Ginsberg,55951987,CS,painting melancholy pictures,starring in madcap comedies,wielding political power,changing sides,raising new-age children,proving math theorems,starring in comedies,singing pop songs,singing opera arias,collecting rock samples
Dick,Gregory,81170260,CS,writing on wax tablets,writing pop songs,hiding from the public,developing new technologies,writing pop songs,running a criminal enterprise,drawing whimsical cartoons,making dunk shots,keeping a diary,doing stand-up
Gregory,Hines,45729045,CS,hiding from the public,signing sports memorabilia,composing classical music,publishing newspapers,cozying up to conservatives,developing new technologies,running a criminal enterprise,proving math theorems,hiding from the public,changing sides
Devon,Aoki,16005597,CS,raising new-age children,drawing whimsical cartoons,running races,winning swimming competitions,singing punk rock songs,organizing mass suicides,running a criminal enterprise,collecting fossils,interviewing politicians,starring in Hollywood movies
Patty,Andrews,21986701,CS,writing pop songs,writing blues songs,singing opera arias,singing pop songs,selling cheap airline seats,doing stand-up,singing pop songs,launching foreign wars,wielding political power,keeping a diary
Woody,Harrelson,81246843,CS,hiding from the public,making dunk shots,promoting Catholic values,cozying up to conservatives,starring in Hollywood movies,making dumb comedies,starring in Hollywood movies,drawing whimsical cartoons,ruling over subjects,writing blues songs
James,Michener,77887875,CS,cross-dressing in women's clothes,treating the injured,writing on wax tablets,making dunk shots,waxing a surfboard,fighting for democracy,running a criminal enterprise,promoting Catholic values,developing new technologies,singing pop songs
Muammar,Gadhafi,59497876,DS,pulling pranks,practicing the Occult,terrorizing employees,running a criminal enterprise,causing mayhem,developing cunning plans,plotting election strategies,solving mysteries,surviving in the 25th century,doing the Charleston
Vic,Tayback,63601966,DS,running a software company,spying on girls,making sarcastic remarks,climbing social ladders,wielding political power,disposing of unwanted jewelry,solving crimes,running a hotel,kicking ass,spreading Christianity
Y.A.,Tittle,51044845,CS,drawing whimsical cartoons,hiding from the public,collecting fossils,promoting Catholic values,issuing fatwas,running a criminal enterprise,running a propaganda machine,promoting conservative values,issuing threats,hosting reality TV shows
Zeppo,Marx,42705185,CS,developing new technologies,keeping a diary,cozying up to conservatives,running a propaganda machine,gyrating hips,treating the injured,wielding political power,divorcing husbands,publishing newspapers,singing pop songs
Enrico,Fermi,46551440,CS,studying mathematics,doing diet commercials,writing pop songs,launching foreign wars,bridging cultures,defending the weak,promoting humanism,winning swimming competitions,running a propaganda machine,running races
Philippe,Petit,18866855,DS,providing comic relief,fighting the forces of good,avoiding retirement,flaunting foppish fashions,watching MacGyver reruns,making silly decisions,solving crimes,saving money,poisoning an apple,waiting for a hero
Marcel,Marceau,36349210,CS,doing diet commercials,promoting communism,writing pop songs,composing classical music,making dunk shots,fighting for democracy,starring in comedies,campaigning for the presidency,writing on wax tablets,pushing dodgy operating systems
Dr.,Dre,87122626,CS,pushing dodgy operating systems,changing sides,starring in Hollywood movies,cozying up to conservatives,proving math theorems,causing political scandals,writing pop songs,singing pop songs,singing Hipbop songs,making dunk shots
Laura,Schlessinger,84351146,DS,interviewing politicians,starring in animated movies,waiting for a hero,guarding the galaxy,plotting election strategies,doing the Charleston,poisoning an apple,surviving in the 25th century,climbing social ladders,reporting the news
Jim,Morrison,71769741,CS,starring in Hollywood movies,collecting rock samples,raising new-age children,starring in comedies,proving math theorems,signing sports memorabilia,pushing dodgy operating systems,writing comedy,singing opera arias,fighting for civil rights
Gabe,Kaplan,47461094,CS,studying mathematics,launching foreign wars,leading armies into battle,campaigning for the presidency,writing pop songs,starring in Hollywood movies,hiding from the public,writing on wax tablets,singing opera arias,divorcing husbands
Rudyard,Kipling,10152715,DS,finding clues,running a criminal enterprise,saving money,worrying about adultery,developing new technologies,fighting the forces of good,causing mayhem,promoting tolerance,running an empire,kicking ass
Alvin,Toffler,85347426,CS,doing diet commercials,proving math theorems,writing on wax tablets,bridging cultures,fighting for democracy,playing guitar,promoting humanism,launching foreign wars,making dumb comedies,wielding political power
Sly,Stone,60325858,CS,selling cheap airline seats,promoting humanism,developing new technologies,waxing a surfboard,singing pop songs,signing sports memorabilia,cross-dressing in women's clothes,promoting communism,playing the violin,singing pop songs
Teddy,Pendergrass,87900128,CS,fighting for civil rights,interviewing politicians,organizing mass suicides,campaigning for social causes,issuing threats,doing stand-up,writing pop songs,promoting Catholic values,promoting humanism,writing comedy
John,Kerry,85244178,DS,saving money,promoting tolerance,spreading Christianity,running an empire,causing mayhem,reporting the news,fighting the forces of good,spying on girls,kicking ass,writing comedy
Derek,Jeter,39344987,CS,drawing whimsical cartoons,developing new technologies,selling cheap airline seats,treating the injured,selling consumer goods,fighting for democracy,starring in Hollywood movies,bridging cultures,interviewing politicians,proving math theorems
Dilbert,,58847274,DS,obeying annoying rules,reporting the news,providing comic relief,interviewing politicians,devising evil schemes,solving crimes,running an empire,avoiding growing old,running a criminal enterprise,interviewing celebrities
Robert,Carlyle,75239182,CS,singing Hipbop songs,publishing newspapers,starring in madcap comedies,proving math theorems,cozying up to conservatives,cross-dressing in women's clothes,writing on wax tablets,singing opera arias,singing pop songs,fighting for democracy
Cokie,Roberts,10583937,DS,promoting tolerance,fighting barbarian hordes,plotting election strategies,running a criminal empire,solving crimes,practicing the Occult,cooking for friends,disposing of unwanted jewelry,running a hotel,reporting the news
Sisqo,,51851176,DS,interpreting evidence,avoiding growing old,hosting anodyne game shows,doing the Charleston,fighting barbarian hordes,providing comic relief,running a criminal enterprise,devising evil schemes,running an empire,promoting tolerance
Robert,Urich,70080462,DS,fighting barbarian hordes,saving money,interviewing celebrities,running a hotel,plotting election strategies,finding clues,climbing social ladders,interpreting evidence,running a criminal enterprise,running a criminal enterprise
Holly,Combs,25314953,DS,climbing social ladders,making silly decisions,guarding the galaxy,avoiding growing old,reporting the news,looking for immortality,wielding political power,fighting the forces of good,interpreting evidence,launching hostile takeovers
Dick,Clark,40122235,CS,collecting rock samples,interviewing politicians,studying mathematics,cross-dressing in women's clothes,drawing whimsical cartoons,proving math theorems,making dunk shots,winning heavyweight titles,playing the violin,promoting communism
Shawn,Wayans,47570698,CS,selling consumer goods,waxing a surfboard,writing pop songs,studying mathematics,fighting for democracy,cozying up to conservatives,starring in madcap comedies,proving math theorems,keeping a diary,winning heavyweight titles
Steve,McQueen,23086491,DS,doing the Charleston,causing mayhem,poisoning an apple,wielding political power,disposing of unwanted jewelry,solving mysteries,running a software company,running an empire,plotting election strategies,interviewing celebrities
Don,Everly,53959842,DS,interviewing celebrities,running a software company,promoting tolerance,developing new technologies,making silly decisions,fighting the forces of good,avoiding growing old,worrying about adultery,running a criminal enterprise,writing comedy
Milton,Friedman,28282626,CS,developing new technologies,publishing newspapers,campaigning for the presidency,fighting for civil rights,starring in comedies,wielding political power,causing political scandals,launching foreign wars,collecting rock samples,hosting reality TV shows
James,Hetfield,52257126,CS,hiding from the public,pushing dodgy operating systems,issuing threats,starring in Hollywood movies,campaigning for social causes,divorcing husbands,playing the violin,hiding from the public,singing pop songs,singing pop songs
Leon,Russell,65600952,CS,causing political scandals,singing pop songs,making dunk shots,gyrating hips,starring in comedies,studying mathematics,studying mathematics,fighting for civil rights,promoting conservative values,writing on wax tablets
Gilbert,Gottfried,98205319,DS,fighting the forces of good,striving for world domination,providing comic relief,watching MacGyver reruns,starring in animated movies,interviewing celebrities,interviewing celebrities,guarding the galaxy,looking for immortality,developing cunning plans
Donnie,Wahlberg,23929935,CS,winning heavyweight titles,doing diet commercials,promoting Catholic values,wielding political power,collecting rock samples,hiding from the public,winning swimming competitions,fighting for democracy,signing sports memorabilia,doing stand-up
Vivien,Leigh,93955463,CS,hosting reality TV shows,developing new technologies,starring in Hollywood movies,changing sides,singing Hipbop songs,cross-dressing in women's clothes,making dunk shots,selling cheap airline seats,cozying up to conservatives,fighting for democracy
Morey,Amsterdam,18909102,CS,starring in comedies,developing new technologies,running a criminal enterprise,launching foreign wars,drawing whimsical cartoons,drawing whimsical cartoons,campaigning for the presidency,composing classical music,selling consumer goods,causing political scandals
Rock,,35963467,CS,fighting for civil rights,singing pop songs,starring in comedies,bridging cultures,collecting rock samples,causing political scandals,hiding from the public,campaigning for social causes,singing Hipbop songs,making dunk shots
Scarlett,Johansson,57749941,CS,running pyramid schemes,fighting for civil rights,campaigning for social causes,drawing whimsical cartoons,singing Hipbop songs,cozying up to conservatives,ruling over subjects,studying mathematics,writing comedy,campaigning for the presidency
Conway,Twitty,49945350,CS,singing pop songs,wielding political power,campaigning for the presidency,writing comedy,doing diet commercials,cross-dressing in women's clothes,changing sides,starring in comedies,signing sports memorabilia,fighting for democracy
Chuck,Yeager,71725161,CS,causing political scandals,doing stand-up,starring in madcap comedies,writing pop songs,hosting reality TV shows,fighting for civil rights,hiding from the public,cross-dressing in women's clothes,doing stand-up,starring in Hollywood movies
Paul,Ford,41140983,DS,running a criminal enterprise,solving mysteries,running a software company,interviewing celebrities,solving crimes,avoiding growing old,launching hostile takeovers,running a criminal enterprise,climbing social ladders,climbing social ladders
Teri,Garr,59100792,CS,singing pop songs,drawing whimsical cartoons,proving math theorems,winning swimming competitions,causing political scandals,starring in Hollywood movies,doing stand-up,organizing mass suicides,developing new technologies,making dunk shots
Joan,Arc,62179046,CS,changing sides,writing pop songs,promoting humanism,singing punk rock songs,studying mathematics,defending the weak,promoting communism,composing classical music,selling consumer goods,starring in Hollywood movies
Steve,Guttenburg,82249873,DS,developing cunning plans,causing mayhem,finding clues,plotting election strategies,making silly decisions,climbing social ladders,hosting anodyne game shows,causing mayhem,making sarcastic remarks,avoiding growing old
Percival,Lowell,18835242,CS,collecting fossils,bridging cultures,making dumb comedies,winning heavyweight titles,drawing whimsical cartoons,doing diet commercials,promoting Catholic values,writing comedy,running a media empire,hosting reality TV shows
Howard,Carter,63656870,CS,studying mathematics,leading armies into battle,running a media empire,promoting Catholic values,launching foreign wars,promoting communism,signing sports memorabilia,running a propaganda machine,making dumb comedies,publishing newspapers
