First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Rudi,Gernreich,10113838,DS,striving for world domination,running a criminal empire,falling gracefully,looking after children,hacking into computers,hacking into corporate mainframes,growing up poor,traveling in time,counting money,writing up case notes
Bill,Mauldin,72845600,CS,singing experimental songs,painting colorful pictures,terrorizing prostitutes,singing pop songs,promoting conservative values,crushing dissent,flirting with rednecks,selling modern art,betraying friends,promoting democracy
Dick,Dyke,52714044,CS,running for the senate,crushing dissent,insulting celebrities,promoting feminism,selling modern art,writing poetry,starring in Hollywood movies,recording history,explaining natural selection,studying mathematics
Kat,D,41476738,CS,coining sparkling witticisms,eliminating political rivals,delivering judgments,singing blues songs,promoting feminism,bridging cultures,ruling over subjects,selling self-help books,leaking state secrets,betraying friends
Tammy,Grimes,82865144,DS,clinging to past dreams,battling the forces of darkness,performing household chores,fussing about cleanliness,fighting in gladiator arenas,wielding political power,writing in ledgers,looking after children,running a criminal empire,defending the weak
Muhammad,Ali,58927386,DS,spying on girls,practicing good skin care,running a criminal empire,talking to mirrors,solving mysteries,selling tat,running a clandestine spy organization,eating census takers,eluding the CIA,creating adverts
Donald,Pleasence,58988219,CS,eliminating political rivals,running a dictatorship,flirting with rednecks,scandalizing polite society,singing experimental songs,telling politicians what to do,planting evidence,playing basketball,marrying underage girls,writing about social problems
David,Duchovney,30290287,DS,revelling in blood spatter,traveling in time,selling tat,testing new technologies,womanizing,singing pop songs,tracking down terrorists,fighting the forces of good,creating nightmares,living amongst apes
Gene,Siskel,81765213,DS,creating adverts,duelling acrobatically,battling the forces of darkness,fighting the forces of good,reading the news,tilting at windmills,tracking down terrorists,selling tat,looking after children,talking to mirrors
Lady,Johnson,83560787,DS,getting a nose job,chasing cats,attending cocktail parties,making documentaries,running a hotel,looking for immortality,delivering presents,terrorizing employees,selling tat,falling gracefully
John,Audubon,99833846,CS,doing stand-up,running a new-age website,changing privacy settings,singing opera arias,running an empire,cozying up to conservatives,writing pop songs,recruiting dissidents,designing modern buildings,writing pop songs
John,Sousa,40220138,DS,revelling in blood spatter,fighting barbarian hordes,exploiting women,smoking during recess,solving crimes,finding clues,kicking ass,instigating rebellion,practicing good skin care,studying science
Rey,Mysterio,21267592,DS,spying on girls,smoking during recess,solving crimes,exploiting women,talking to mirrors,climbing social ladders,practicing insincerity,getting a nose job,shagging spies,murdering astronauts
Harry,Carrey,61837790,DS,living amongst apes,studying magic,seducing women,cheating at poker,defending the weak,instilling fear in the enemy,eluding the CIA,solving mysteries,beating menial staff,watching the sun rise
Aaron,Neville,15646702,DS,foiling the schemes of evil villains,writing in ledgers,beating menial staff,defending the weak,teaching young mutants,selling tat,getting a nose job,cooking chrystal meth,shagging spies,pedalling engine-less cars
Andy,Summers,12969298,CS,insulting minorities,singing Hipbop songs,doing stand-up,delivering judgments,running an empire,proving math theorems,singing jazz songs,singing Hipbop songs,riding a bicycle,running a religious cult
Ron,Foos,18483221,DS,pedalling engine-less cars,eating census takers,teaching the next generation,solving crimes,preventing crime,carrying secret plans,digging for antiquities,growing up poor,cooking chrystal meth,testing new technologies
Julio,Iglesias,42824198,CS,insulting celebrities,marrying underage girls,singing blues songs,writing cook books,recruiting dissidents,spreading revolution,promoting boxing fights,launching cultural revolutions,running pyramid schemes,smiting Philistines
David,Spade,28699605,DS,solving mysteries,fussing about cleanliness,selling tat,writing up case notes,spying on girls,duelling acrobatically,practicing the Occult,talking to mirrors,foiling the schemes of evil villains,fighting the forces of good
Nancy,Lopez,58648657,CS,winning tennis matches,promoting boxing fights,gurning for the camera,running a media empire,writing Russian novels,selling out,chasing criminals,attacking neighbors,studying mathematics,riding a bicycle
Jill,John,56581725,CS,writing cook books,starring in Hollywood movies,writing Russian novels,running a technology company,playing rock guitar,selling out,living amongst apes,directing movies,studying mathematics,playing tough guys
Michael,Douglas,24792858,DS,going bowling,fighting for justice,tracking down terrorists,terrorizing employees,reading the news,bending the law,running a clandestine spy organization,fighting the forces of good,revelling in blood spatter,manipulating political pawns
Ed,Oneill,95418547,DS,building an army,raging against the machine,running a clandestine spy organization,falling gracefully,fighting the forces of good,terrorizing employees,wielding political power,practicing insincerity,punishing terrorists,selling dodgy goods
Cybill,Shepherd,43957075,CS,starring in Hollywood movies,recruiting dissidents,promoting humanism,selling out,singing punk rock songs,starring in Hollywood movies,writing about social problems,playing tough guys,launching cultural revolutions,starring in Hollywood movies
Oscar,Levant,94356709,DS,terrorizing sleepers,preparing for war,falling gracefully,fighting the forces of good,fighting barbarian hordes,getting a nose job,running a criminal empire,eating bacon cheeseburgers,being condescending to customers,being a good neighbor
Robert,Vaughn,74771404,CS,promoting boxing fights,playing ice hockey,writing pop songs,writing pop songs,plagiarizing political speeches,writing pop songs,trading in wives,promoting monetarism,living amongst apes,making bizarre movies
Rachael,Ray,83348060,CS,telling politicians what to do,chasing criminals,seducing women,designing modern buildings,starring in romantic comedies,singing pop songs,composing classical music,spreading revolution,starring in Hollywood movies,writing about social problems
Cloris,Leachman,69343824,CS,chasing after women,leaking state secrets,running a media empire,treating the sick,recruiting dissidents,living amongst apes,singing pop songs,gyrating hips,chasing criminals,playing James Bond
Donald,Trump,46103986,CS,making vague predictions,living amongst apes,running an empire,chasing after women,smiting Philistines,starring in Hollywood movies,wielding political power,promoting conservative values,starring in Hollywood movies,running a media empire
Alice,Walker,38918032,CS,promoting boxing fights,starring in Hollywood movies,making violent movies,winning boxing matches,playing the saxophone,gurning for the camera,dating centrefolds,promoting new technologies,cracking enemy codes,whining at umpires
Daniel,Johns,10738705,CS,crushing dissent,starring in Hollywood movies,writing Russian novels,writing pop songs,ranting about liberals,changing privacy settings,promoting feminism,singing jazz songs,running an empire,living amongst apes
John,Kennedy,48506595,CS,writing cook books,singing pop songs,ruling over subjects,doing stand-up,collecting shoes,writing pop songs,singing Hipbop songs,starring in Hollywood movies,running a new-age website,riding a bicycle
Betty,Ford,87376895,DS,hacking into corporate mainframes,cooking chrystal meth,hunting monsters,spitting while speaking,testing new technologies,digging for antiquities,fighting in gladiator arenas,making silly decisions,defending the weak,wielding political power
Simon,Wiesenthal,89984048,CS,planting evidence,insulting celebrities,winning tennis matches,running a religious cult,singing jazz songs,winning cycling races,making bizarre movies,making dumb comedies,singing pop songs,promoting feminism
Shaquille,Oneil,73004322,CS,collecting shoes,plagiarizing political speeches,playing basketball,writing pop songs,recruiting dissidents,running a software company,gyrating hips,promoting conservative values,riding a bicycle,running theme parks
Patsy,Kensit,50223894,CS,directing movies,playing tough guys,writing cook books,insulting celebrities,starring in indy movies,ruling over subjects,riding a bicycle,starring in Hollywood movies,running a dictatorship,playing ice hockey
Charles,Yeager,62839710,DS,digging for antiquities,teaching Defence Against the Dark Arts,eating census takers,delivering presents,solving crimes,defending the weak,solving mysteries,spying on girls,falling gracefully,looking for immortality
Ice,Cube,41485505,CS,following the money,making dumb comedies,starring in Hollywood movies,doing stand-up,shopping for shoes,pushing anti-trust legislation,directing the business of state,making political gaffes,testing new technologies,running Ponzi schemes
C.,Jung,22377257,DS,striving for world domination,murdering astronauts,talking to mirrors,singing bawdy songs,solving crimes,hacking into corporate mainframes,fighting the forces of good,tracking down terrorists,stealing human fat,practicing the Occult
Frank,Rizzo,60810900,DS,spying for the enemy,studying magic,fussing about cleanliness,wielding political power,solving crimes,running a criminal enterprise,smoking during recess,counting money,digging for antiquities,looking for immortality
Dino,Laurentiis,64320360,CS,scandalizing polite society,performing magic tricks,playing baseball,shopping for shoes,ranting about liberals,running a kingdom,whining at umpires,running a software company,running a media empire,spreading revolution
Jonathan,Brandis,12638925,CS,playing James Bond,proving math theorems,ruling over subjects,singing parody songs,singing pop songs,recording history,playing the organ,selling self-help books,explaining natural selection,doing stand-up
Jackie,Mason,32682419,CS,singing Hipbop songs,selling self-help books,eliminating political rivals,singing melancholy songs,singing pop songs,gurning for the camera,singing pop songs,ranting about liberals,leading revolts,puncturing artistic sensibilities
Robin,Leach,68803117,DS,hacking into computers,climbing social ladders,singing bawdy songs,studying science,spying for the enemy,duelling acrobatically,battling the forces of darkness,promoting logical thinking,running a clandestine spy organization,squandering money
Frankie,Valli,99433885,CS,throwing temper tantrums,betraying friends,starring in madcap comedies,starring in Hollywood movies,running a technology company,studying computability,doing stand-up,promoting Fascism,marrying underage girls,spreading revolution
Toni,Morrison,97409598,DS,solving mysteries,teaching young mutants,writing up case notes,keeping accounts,studying science,talking to mirrors,building an army,hunting monsters,wielding political power,buying on credit
Keri,Russell,14578537,DS,fighting the forces of good,singing bawdy songs,fighting barbarian hordes,selling dodgy goods,fighting for justice,keeping accounts,being a good neighbor,fighting in gladiator arenas,running a criminal empire,making documentaries
James,Baldwin,84350496,CS,directing the business of state,promoting feminism,terrorizing prostitutes,playing basketball,gyrating hips,ruling over subjects,running a media empire,running a technology company,starring in romantic comedies,living amongst apes
Lindsey,Buckingham,29998468,CS,giving speeches,driving under the influence,whining at umpires,studying mathematics,recording history,singing Hipbop songs,plotting strategies,predicting the future,trading in wives,coining sparkling witticisms
Slash,,53007314,CS,singing melancholy songs,trading in wives,singing pop songs,singing Hipbop songs,singing pop songs,composing classical music,chasing criminals,running theme parks,chasing after women,directing movies
William,Shakespear,93539528,DS,growing up poor,wielding political power,cooking chrystal meth,practicing insincerity,practicing good skin care,kicking ass,reading the news,pedalling engine-less cars,promoting logical thinking,counting money
Jane,Froman,38195722,CS,designing modern buildings,consolidating an empire,writing pop songs,cracking enemy codes,winning cycling races,changing privacy settings,singing opera arias,writing serialized stories,doing stand-up,gurning for the camera
Jason,Earles,13148640,CS,directing movies,selling out,changing privacy settings,living amongst apes,ruling over subjects,running a media empire,attacking neighbors,running a new-age website,singing pop songs,starring in madcap comedies
Phill,Lewis,17763738,CS,singing punk rock songs,chasing criminals,performing magic tricks,starring in romantic comedies,singing blues songs,making vague predictions,running a media empire,selling out,running a religious cult,giving speeches
Karl,Marx,54547322,CS,leading revolts,running races,playing basketball,singing pop songs,fighting for democracy,writing pop songs,cozying up to conservatives,scandalizing polite society,promoting new technologies,starring in Hollywood movies
Amedeo,Avogadro,17663377,DS,pioneering new technologies,solving mysteries,running a hotel,studying science,fishing for shrimps,practicing good skin care,cheating at poker,pedalling engine-less cars,making silly decisions,instigating rebellion
William,Bendix,63519766,DS,running a hotel,delivering presents,selling comic books,falling gracefully,eating bacon cheeseburgers,making documentaries,creating adverts,practicing good skin care,fussing about cleanliness,building an army
Brooks,Robinson,60349197,DS,building an army,solving crimes,selling comic books,fussing about cleanliness,avoiding work,singing pop songs,murdering astronauts,carrying secret plans,writing in ledgers,buying on credit
Samuel,Jackson,53922752,CS,singing pop songs,doing stand-up,painting colorful pictures,singing melancholy songs,promoting science,promoting conservative values,writing serialized stories,singing opera arias,terrorizing prostitutes,singing jazz songs
Regis,Philbin,23953646,DS,shagging spies,attending cocktail parties,foiling the schemes of evil villains,cooking chrystal meth,creating adverts,studying science,pedalling engine-less cars,terrorizing employees,practicing the Occult,hacking into corporate mainframes
