First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Myrna,Loy,36472024,DS,singing pop songs,engaging in bare-knuckle fighting,running a criminal enterprise,promoting movie violence,running an empire,fighting the resistance,slashing victims,slashing victims,currying favour,offering legal advice
Steve,Allen,84991044,CS,collecting rock samples,raising cain,promoting Buddhism,teaching philosophy to future leaders,making idealistic movies,dressing up in cosplay costumes,searching for the messiah,writing about manly pursuits,promoting conservative values,testing new technologies
Robert,Zemeckis,74160798,CS,writing about manly pursuits,smoking herb,starring in Hollywood movies,trading in wives,searching for the messiah,making insipid musicals,searching for a new world,developing military strategies,performing stand-up,starring in Hollywood movies
Max,Steiner,35829605,DS,slashing victims,making silly decisions,fussing about cleanliness,casting magic spells,running a crime family,running a business empire,commanding a spaceship,running an empire,fighting the resistance,offering legal advice
Dinah,Shore,62332405,CS,starring in Hollywood movies,pioneering new technologies,running a large metropolitan city,making idealistic movies,writing pop songs,writing Russian novels,searching for the messiah,performing stand-up,singing rock songs,amassing weapons
Michele,Pfeiffer,80080100,CS,promoting Buddhism,developing military strategies,dressing up in cosplay costumes,teaching philosophy to future leaders,pedalling furiously,singing rock songs,writing about manly pursuits,writing pop songs,making idealistic movies,dating supermodels
Regis,Philbin,20224372,DS,nurturing sibling rivalry,fussing about cleanliness,building rocket ships,running an empire,singing pop songs,commanding a spaceship,running a crime family,running a criminal enterprise,making silly decisions,running a business empire
Jack,Weston,41747417,CS,chasing old women,pioneering new technologies,searching for the messiah,starring in Hollywood movies,promoting conservative values,starring in sit-coms,climbing social ladders,starring in Hollywood movies,building a search engine,pedalling furiously
Peggy,Fleming,82338760,CS,singing pop songs,smoking herb,making insipid musicals,telling affable jokes,building a search engine,singing rock songs,teaching philosophy to future leaders,collecting rock samples,pioneering new technologies,writing about manly pursuits
Bette,Davis,75473842,CS,pioneering new technologies,chasing old women,running a large metropolitan city,leaking state secrets,posing for photographs,building a search engine,starring in Hollywood movies,developing military strategies,writing Russian novels,writing rap songs
Gene,Barry,88651258,CS,making idealistic movies,writing rap songs,starring in romantic comedies,trading in wives,promoting conservative values,shocking radio listeners,searching for the messiah,searching for a new world,posing for photographs,writing pop songs
Martin,Buren,46632821,CS,making maverick choices,chasing old women,searching for the messiah,starring in romantic comedies,teaching philosophy to future leaders,amassing weapons,wallowing in mud,running a large metropolitan city,winning golf tournaments,making insipid musicals
Lord,Baden-Powell,65599349,CS,testing new technologies,climbing social ladders,searching for the messiah,fighting with swords,starring in Hollywood movies,collecting rock samples,amassing weapons,writing pop songs,singing rock songs,winning golf tournaments
Roy,Lichtenstein,20119389,DS,grabbing power,throwing lavish parties,selling comic books,building rocket ships,casting magic spells,commanding a spaceship,singing pop songs,fussing about cleanliness,pulling capers,making silly decisions
Paul,Erlich,19944480,CS,leaking state secrets,running for the senate,starring in sit-coms,testing new technologies,making insipid musicals,teaching philosophy to future leaders,singing rock songs,writing modern fiction,shocking radio listeners,developing military strategies
Henry,Miller,23902486,DS,fussing about cleanliness,making strategic decisions,foiling the schemes of evil villains,fighting the resistance,swinging on a perch,running a business empire,nurturing sibling rivalry,promoting movie violence,going senile,throwing lavish parties
Harley,Davidson,96576701,CS,amassing weapons,singing pop songs,Research Activity,partying on yachts,pedalling furiously,raising cain,making insipid musicals,pioneering new technologies,singing rock songs,smoking herb
Lindsay,Lohan,90094747,DS,commanding a spaceship,foiling the schemes of evil villains,throwing lavish parties,going senile,swinging on a perch,complaining about big brother,running a crime family,running a criminal enterprise,promoting movie violence,pulling capers
Tim,McGraw,22309244,DS,being condescending to customers,developing new technologies,slashing victims,building rocket ships,making topiary sculptures,pulling capers,slashing victims,running a business empire,fussing about cleanliness,nurturing sibling rivalry
Alvin,Toffler,73051691,CS,winning golf tournaments,smoking herb,searching for the messiah,chasing old women,dating supermodels,writing science fiction,developing military strategies,running a large metropolitan city,leaking state secrets,writing about manly pursuits
Wallace,Shawn,81764993,DS,selling comic books,running a criminal enterprise,running a business empire,casting magic spells,commanding a spaceship,developing new technologies,promoting movie violence,developing cunning plans,building rocket ships,fussing about cleanliness
Dr.,Seuss,82468973,CS,dating supermodels,teaching philosophy to future leaders,promoting conservative values,running a large metropolitan city,running a business empire,pioneering new technologies,making insipid musicals,fighting with swords,building a search engine,dressing up in cosplay costumes
Harry,Shearer,54324581,CS,searching for the messiah,teaching philosophy to future leaders,pedalling furiously,raising cain,wallowing in mud,making idealistic movies,amassing weapons,searching for a new world,womanizing,climbing social ladders
Doris,Roberts,93369831,DS,throwing lavish parties,pulling capers,running a business empire,casting magic spells,fussing about cleanliness,developing cunning plans,promoting movie violence,slashing victims,slashing victims,running a crime family
Aubrey,Beardsley,76894903,DS,fighting the resistance,running a criminal enterprise,swinging on a perch,complaining about big brother,slashing victims,casting magic spells,grabbing power,foiling the schemes of evil villains,communicating with animals,studying magic tricks
Chris,Gaines,90222728,CS,starring in sit-coms,posing for photographs,dressing up in cosplay costumes,writing pop songs,teaching philosophy to future leaders,pedalling furiously,leaking state secrets,singing rock songs,running a business empire,making idealistic movies
Michelangelo,,82049476,CS,trading in wives,judging legal cases,chasing old women,climbing social ladders,developing military strategies,promoting conservative values,starring in romantic comedies,performing stand-up,building a search engine,fighting with swords
Max,Sydow,93373412,DS,making topiary sculptures,slashing victims,casting magic spells,building rocket ships,commanding a spaceship,currying favour,nurturing sibling rivalry,developing cunning plans,foiling the schemes of evil villains,fighting the resistance
Bessie,Smith,93032960,CS,fighting with swords,writing pop songs,climbing social ladders,amassing weapons,singing pop songs,performing stand-up,collecting rock samples,building a search engine,singing rock songs,womanizing
Bobby,Goldsboro,17644337,CS,writing Russian novels,smoking herb,writing rap songs,testing new technologies,promoting Buddhism,starring in sit-coms,raising cain,singing pop songs,dressing up in cosplay costumes,running a business empire
Hannah,Spearritt,17702860,CS,wallowing in mud,teaching philosophy to future leaders,running for the senate,starring in romantic comedies,singing rock songs,making insipid musicals,singing pop songs,making maverick choices,searching for a new world,performing stand-up
Chris,Noth,95446602,DS,running a criminal enterprise,going senile,developing cunning plans,commanding a spaceship,making strategic decisions,fussing about cleanliness,foiling the schemes of evil villains,engaging in bare-knuckle fighting,solving crimes,brewing magican potions
