Staff Name,Research Activity,Stream,Preferred Probability
Truman Capote,coining sparkling witticisms,CS+DS,0.298980198491162
Wolverine,foiling the schemes of evil villains,DS,0.14096707331881222
Annie Oakley,promoting circus attractions,CS,0.3335440923156136
Richard Dawkins,promoting Darwinism,CS+DS,0.34719796475098075
George Clooney,starring in indy movies,CS,0.27957141802779645
Adolf Eichmann,running a bureaucracy,CS,0.3367448225676207
Peter Jackson,making fantasy movies,CS+DS,0.3989323731904561
Erik "Magneto" Lehnsherr,preparing for war,DS,0.15677249182293385
Keith Moon,throwing TVs out of the windows,CS,0.20926703055076343
O.J. Simpson,making threatening phone calls,CS+DS,0.11005228073812753
Emperor Caligula,abusing power,CS+DS,0.35643410010912346
Wolfgang Amadeus Mozart,composing classical music,CS+DS,0.35126994737051476
Dexter Morgan,killing murderers,DS,0.39303329421618616
Professor James Moriarty,amassing ill-gotten wealth,DS,0.3576832923267335
Caitlyn Jenner,campaigning for social causes,CS,0.11923574975993674
Herodotus,recording history,CS+DS,0.21222545286097744
Savonarola,ranting about liberals,CS+DS,0.39879338560611727
Garth Brooks,singing country music,CS,0.3989262730781674
John Constantine,practicing the Occult,DS,0.3614796205292488
Colin Farrell,womanizing,CS+DS,0.3987658608470557
Colonel Kurtz,instilling fear in the enemy,DS,0.29382300207472506
Julian Assange,hacking into computers,CS+DS,0.2953794718806192
Bill Murray,starring in indy movies,CS,0.27596139521507246
Elon Musk,pioneering new technologies,CS+DS,0.24311740482374158
Wolfgang Amadeus Mozart,playing the piano,CS+DS,0.32920748524727594
Dean Martin,crooning love songs,CS+DS,0.37009383889778436
Lizzy Bennet,disappointing suitors,DS,0.37824425669361567
Matt Groening,writing TV comedies,CS+DS,0.18979210624458318
Nikola Tesla,pioneering new technologies,CS,0.33633457850772375
Christian Bale,starring in action movies,CS,0.19767246759233084
Leroy Jethro Gibbs,solving crimes,DS,0.3270532847456343
G. Gordon Liddy,pulling dirty political tricks,CS,0.09602922619461848
Biff Tannen,mangling idioms,DS,0.3679894987036421
Spider-Man,pursuing criminals,DS,0.32758120055639595
Emmanuel Macron,giving speeches,CS,0.050596144890175214
Linus Torvalds,developing operating systems,CS+DS,0.3989285604959427
Beatrix Potter,drawing whimsical cartoons,CS+DS,0.3989343397050544
Charlemagne,consolidating an empire,CS+DS,0.3979083186860494
Jack Nicholson,womanizing,CS+DS,0.3703278995327178
Edward Scissorhands,making topiary sculptures,DS,0.17259080882427694
Barney Gumble,burping,DS,0.332204898784083
Jack Reacher,solving crimes,DS,0.10610845775951294
Amelia Earhart,breaking records,CS,0.1263871489023648
William Shakespeare,writing plays,CS+DS,0.21209034099588955
Martha Stewart,cooking dinners,CS,0.26982830647205475
Noah,building a wooden ark,CS,0.3989405562751056
Frank Underwood,manipulating political pawns,DS,0.0852792309809448
Boudicca,spreading revolution,CS,0.39893043268019857
Orson Welles,directing Hollywood movies,CS+DS,0.29183496834584105
Dr. Henry Jekyll,suppressing violent urges,DS,0.39606217796706217
Hercule Poirot,tricking criminals,DS,0.3454747083426045
Lady Macbeth,manipulating political pawns,DS,0.3585181173697991
King Arthur,fighting with swords,CS,0.39221378112533795
Morgana Le Fay,studying magic tricks,DS,0.25249861018108055
Louis Armstrong,playing the trumpet,CS+DS,0.1208787999541626
Silvio Berlusconi,throwing Bunga Bunga parties,CS+DS,0.09282617946750471
Willy Wonka,inventing new confectionary,DS,0.0961981036963892
Eric Clapton,singing blues songs,CS+DS,0.39891443837546753
Giacomo Casanova,chasing after women,CS,0.2586369277636397
Pepé Le Pew,seducing women,DS,0.21041689157774235
Walt Longmire,finding clues,CS,0.07448798817588717
Flash Gordon,fighting for justice,DS,0.31651506327863943
Richard Dawkins,promoting atheism,CS+DS,0.23790328848087086
Erasmus,promoting humanism,CS+DS,0.3484305753892606
Benito Mussolini,making trains run on time,CS+DS,0.19986788164571967
Harvey Weinstein,making movies,CS,0.38487455032539575
Jenna Maroney,singing pop songs,DS,0.29011748957552985
Adolf Hitler,creating an axis of evil,CS,0.3557607645503299
Dr. Greg House,twirling a cane,DS,0.3575629093930624
Gore Vidal,writing modern fiction,CS+DS,0.13612799110656632
Loki Laufeyson,plotting against family members,DS,0.10520150882163823
Woody Allen,playing the clarinet,CS+DS,0.3116098811597731
Tom Wolfe,writing serialized stories,CS,0.16782327357502663
Jeremy Clarkson,test-driving cars,CS+DS,0.1925925109097639
Kenneth Parcell ,promoting conservative values,DS,0.27442018432340287
William Shatner,starring in TV shows,CS,0.3066859845550036
John Dillinger,eluding the FBI,CS,0.38974910331104845
George Clooney,womanizing,CS,0.39769874476622885
Jane Eyre,looking after children,DS,0.25434886497104736
JD Salinger,eluding the public gaze,CS+DS,0.3915493742577269
Jimmy Carter,building houses for poor people,CS+DS,0.2068056108844223
Noah,managing large development projects,CS,0.15986414019779385
William Shatner,starring in science fiction movies,CS,0.17144623705283554
Pythagoras,proving math theorems,CS+DS,0.04371699649083635
Steve Jobs,developing new technologies,CS,0.19725447492854212
Charles Foster Kane,promoting yellow journalism,DS,0.3675792828612507
Deadpool,undermining authority,DS,0.273035730124817
Vladimir Lenin,promoting communism,CS,0.39450266921908594
Sterling Archer,kicking ass,DS,0.34582312217338573
Ludwig Van Beethoven,composing classical music,CS,0.10699316661354666
Frank Zappa,writing experimental songs,CS+DS,0.38672939750181956
Richard Branson,running a multinational corporation,CS,0.2998511500164854
Lucille Ball,starring in madcap comedies,CS+DS,0.22773605690237128
LeBron James,playing basketball,CS+DS,0.3379267861175012
Emperor Palpatine,promoting the Dark Side,DS,0.38497301006315776
Jerry Seinfeld,starring in sit-coms,CS,0.08562453329573771
Doctor Stephen Strange,casting magic spells,DS,0.2620367571192417
Richard Dawkins,explaining evolution,CS+DS,0.04747381275323917
Michael Jackson,performing moon walks,CS,0.08742498699225996
Kylo Ren,promoting the Dark Side,DS,0.39802378715232944
Fagin,fencing stolen goods,DS,0.397532941947022
Tony Montana,running a crime family,DS,0.39225372779778306
Bill Gates,making billions,CS+DS,0.19009397638056916
Christian Grey,running a multinational corporation,DS,0.27846333573498083
Norman Rockwell,painting folksy pictures,CS+DS,0.358107696638316
Woody Allen,directing Hollywood movies,CS+DS,0.38526397247653094
Daenerys Targaryen,running a kingdom,DS,0.05229571637643627
Silvio Berlusconi,avoiding taxes,CS+DS,0.3958998755806599
Principal Seymour Skinner,looking after mother,DS,0.32976781337465944
Rush Limbaugh,ranting about liberals,CS+DS,0.38471928911554376
Harvey Weinstein,seducing women,CS,0.012363675204354921
Simon Pegg,dressing up in cosplay costumes,CS,0.3460418295156994
Loki Laufeyson,devising evil schemes,DS,0.3421007136325348
Pablo Escobar,running a crime family,CS+DS,0.03350917152839348
Freddy Krueger,killing teenagers,DS,0.03633134151619147
Pablo Escobar,running a smuggling business,CS+DS,0.36656308709596774
Howard Hughes,building airplanes,CS,0.14298381596792192
Le Chiffre,playing Baccarat,DS,0.11000540848820327
Spartacus,instigating rebellion,DS,0.39450782794773587
Robert Mueller,chasing criminals,CS+DS,0.3833090205065919
Cardinal Richelieu,directing the business of state,CS,0.29861223989872426
Jason Bourne,eluding capture,DS,0.33060405305553486
Andy Warhol,painting over photographs,CS+DS,0.2695736981524956
Emmeline Pankhurst ,fighting for democracy,CS,0.398422811994927
Robert Mueller,interpreting evidence,CS+DS,0.3781948455302368
George Orwell,promoting liberalism,CS+DS,0.269972930578463
Margaret Thatcher,promoting conservative values,CS,0.2404382537611594
Moe Szyslak,falling for prank calls,DS,0.3965453270035727
Oliver Cromwell,spreading revolution,CS+DS,0.3966805325620927
Che Guevara,promoting socialism,CS,0.39813806332941654
Marie Curie,extracting Radium from pitchblend,CS,0.3800079817937443
Deadpool,foiling the schemes of evil villains,DS,0.29870563817945744
Giacomo Casanova,womanizing,CS,0.21383871995308587
Rupert Murdoch,publishing newspapers,CS,0.16677187764346194
Buzz Aldrin,piloting the lunar module,CS+DS,0.15603442223014027
Harry S. Truman,wielding political power,CS,0.34824165111371497
Sam Winchester,hunting demons,DS,0.39354144423067194
Salvador Dali,painting surreal pictures,CS,0.38965530796371317
Indiana Jones,digging for antiquities,DS,0.3021113544665592
Daniel Day-Lewis,winning Oscars,CS,0.023391665103800276
Fletcher Christian,expressing dissent,CS,0.3301024188022138
Harvey Weinstein,chasing after women,CS,0.3171285520016792
Steve Jobs,terrorizing employees,CS,0.26431504306163744
Kenny G,playing the saxophone,CS,0.241199123537352
Tomás de Torquemada,promoting Catholic values,CS+DS,0.10147975910140271
Norman Bates,cross-dressing in women's clothes,DS,0.31289760753299317
Obi-wan Kenobi,promoting mysticism,DS,0.2877646025547926
Ned Flanders,promoting conservative values,DS,0.34389519511115846
Jeff Koons,selling kitsch,CS,0.3387624174775916
Michael J. Fox,throwing fund-raisers for Parkinson's disease,CS+DS,0.07969545470868596
King Arthur,running a kingdom,CS,0.06881769168274873
Erik "Magneto" Lehnsherr,devising evil schemes,DS,0.03565910856247856
Jim Jones,running a religious cult,CS,0.11443764501837178
Doctor Stephen Strange,studying magic tricks,DS,0.3351181252703054
G. Gordon Liddy,ranting about liberals,CS,0.39860764182838965
Warren Buffett,giving investment advice,CS+DS,0.39881158549945933
King Arthur,ruling over subjects,CS,0.31049160445968144
Steve Jobs,running a software company,CS,0.08070668445133689
Severus Snape,teaching Defence Against the Dark Arts,DS,0.3492187805017705
Sheldon Cooper,promoting science,DS,0.30022285710734076
Ricky Martin,singing pop songs,CS,0.39750842668088365
Obi-wan Kenobi,rescuing damsels in distress,DS,0.18204463358267148
Bob Cratchit,keeping accounts,DS,0.16851891516454676
Roy Batty,avoiding retirement,DS,0.03543362380602287
Tyra Banks,modeling clothes,CS+DS,0.3381765408816598
Billy Crystal,starring in comedies,CS+DS,0.1400004309431343
Ming The Merciless,terrorizing Earth,DS,0.16141933760998728
Bridget Jones,reading self-help books,DS,0.35131321551291994
Deadpool,punishing criminals,DS,0.2570727497425034
Norma Desmond,dreaming of yesteryear,DS,0.39131963545049653
Frank Columbo,solving crimes,DS,0.27036675073139776
Monica Lewinsky,doing diet commercials,CS,0.3901582648134492
Hedda Hopper,spreading political gossip,CS+DS,0.39330325703566726
Severus Snape,performing magic tricks,DS,0.39738961639010373
H.P. Lovecraft,writing for pulp magazines,CS,0.33937670899199984
Homer Simpson,avoiding work,DS,0.2994793962734662
Jason Voorhees,slashing victims,DS,0.3271733936506549
Tarzan,communicating with animals,DS,0.3986362398303944
Del Boy Trotter,selling dodgy goods,DS,0.11243531103258403
Mel Gibson,making antisemitic remarks,CS,0.0771016521381482
Barney Gumble,driving under the influence,DS,0.38674541126388196
Hellboy,smoking cigars,DS,0.363551128817962
Dean Martin,recording pop songs,CS+DS,0.36684071677931007
Arnold Schwarzenegger,working out,CS,0.3390178700412439
Mark Fuhrman,abusing minorities,CS,0.34966489058919825
Harry S. Truman,campaigning for the presidency,CS,0.2120886377039388
Hugh Hefner,dating centrefolds,CS+DS,0.3489948496059262
Bill Gates,funding a cure for malaria,CS+DS,0.05163512569578347
Tony Stark,running a software company,DS,0.2606389541156328
Voltaire,promoting liberal values,CS,0.3229650024627685
George Foreman,knocking out opponents,CS,0.3357958536024161
Patch Adams,making sick people laugh,CS+DS,0.39834663557592664
Gordon Gekko,promoting capitalism,DS,0.38199852868719164
Charles Darwin,promoting Darwinism,CS,0.23354538421137078
Jason Bourne,killing people in ingenious ways,DS,0.39884444471115704
Kenneth Parcell ,leading tour groups,DS,0.06761355085239283
Donald Rumsfeld,writing hawkish memos,CS,0.11583330954034478
Ray Kroc,selling fast food,CS,0.36264437055602133
Marco Pierre White,running restaurants,CS,0.03824419791597036
Dean Winchester,hunting monsters,DS,0.3104487263015838
Mr. Darcy,wooing potential brides,DS,0.15578224597845744
Ross Geller,studying paleontology,DS,0.28013531572882033
Frank Columbo,tricking criminals,DS,0.2308449245234941
Hannibal Lecter,eluding FBI profilers,DS,0.25104009156869084
Matt "Daredevil" Murdock,solving crimes,DS,0.3981332866798981
Whitney Houston,writing pop songs,CS,0.3063204058448999
Benito Mussolini,promoting Fascism,CS+DS,0.1828006603335971
Spartacus,fighting in gladiator arenas,DS,0.20338713621771856
Julian Assange,leaking state secrets,CS+DS,0.30531797680199924
Tom Ripley,cashing checks,DS,0.1759774671521881
Serena Williams,delivering forehand slams,CS,0.3588306408476267
Clarice Starling,hunting serial killers,DS,0.3989386670016462
Anthony Scaramucci,making political gaffes,CS,0.3739904802690842
Muhammad Ali,knocking out opponents,CS,0.3381047528193766
Frank Underwood,wielding political power,DS,0.27063162430786586
Gordon Gekko,promoting greed,DS,0.38296918130739865
Boris Johnson,promoting conservative values,CS+DS,0.3732529797270635
Leonard Hofstadter,obeying annoying rules,DS,0.3721745297204521
John McEnroe,winning tennis tournaments,CS,0.27754802720917066
Dr. Dre,writing rap songs,CS+DS,0.38600655760181013
Walter Mitty,escaping from reality,DS,0.28599390803969654
Tom Wolfe,writing about social problems,CS,0.05515736599275489
Edna Krabappel,looking for love,DS,0.17370467162773434
Norman Bates,slashing victims,DS,0.2516106836196552
Jack Nicholson,starring in Hollywood movies,CS+DS,0.39755748214179076
Kim Philby,leaking information,CS,0.3884597608325955
Eddie Murphy,starring in comedies,CS+DS,0.29699070811145784
Hedda Hopper,promoting conservative values,CS+DS,0.1317623790142654
Daenerys Targaryen,ruling over subjects,DS,0.15500025815921234
Merlin,performing magic tricks,DS,0.34621043020324344
Obi-wan Kenobi,fighting for the resistance,DS,0.3149877893450178
Warren Buffett,running a business empire,CS+DS,0.3135482402729888
Monica Geller,arranging dinner parties,DS,0.1548850518837892
Emmeline Pankhurst ,campaigning for social causes,CS,0.3757461097619513
Jeff Bezos,selling consumer goods,CS,0.21340540122657442
Edna Krabappel,smoking during recess,DS,0.3621207347313459
Mayor Joe Quimby,embezzling tax money,DS,0.3820303027650764
Liz Lemon,writing comedy,DS,0.3984969528852664
Walt Disney,directing animated films,CS,0.3924828949728585
Silvio Berlusconi,throwing sex parties,CS+DS,0.35634280152412134
Christina Aguilera,singing pop songs,CS,0.24871927967979277
Sean Connery,starring in Hollywood movies,CS,0.2464629953031991
Sheldon Cooper,collecting comic books,DS,0.2961962108635824
Grigori Rasputin,climbing social ladders,CS+DS,0.3069984014667997
Indiana Jones,looking for hidden treasures,DS,0.334707856832243
Giacomo Casanova,seducing women,CS,0.2951773899240086
Jim Carrey,gurning for the camera,CS+DS,0.25169158010935205
Uriah Heap,making patronising comments,DS,0.379539219937753
Bill Gates,pushing dodgy operating systems,CS+DS,0.39661686628444165
Mickey Mouse,promoting movie violence,DS,0.3949934601954681
Truman Capote,writing modern fiction,CS+DS,0.358304713752506
Natasha Romanova,foiling the schemes of evil villains,DS,0.3944795024131953
Boris Johnson,making political gaffes,CS+DS,0.15189958671417386
Joseph Smith,racking up marriages,CS+DS,0.29539057709485594
Hannibal Lecter,eating census takers,DS,0.3800425544907251
Mother Teresa,feeding the poor,CS,0.1971097685208449
George Michael,singing pop songs,CS,0.3846148478040812
Lex Luthor,promoting capitalism,DS,0.2977622493283015
Le Chiffre,devising evil schemes,DS,0.36660038466226325
Saga Norén,solving crimes,DS,0.3989349992186726
Howard Stern,hosting radio shows,CS+DS,0.39865543610040804
Woody Guthrie,singing protest songs,CS,0.3350880770898275
Ben Affleck,avoiding paparazzi,CS+DS,0.398349918514315
Gandalf the Grey,performing magic tricks,DS,0.3844079045554897
Morpheus,recruiting dissidents,DS,0.3917306129685682
Deep Throat,offering advice,CS,0.3749005300772927
Albus Dumbledore,performing magic tricks,DS,0.3870123426868223
C-3PO,eluding imperial storm-troopers,DS,0.21988128311542063
Saddam Hussein,suppressing minorities,CS,0.22725321436813672
Ed Wood,directing bad movies,CS+DS,0.21523017940066486
Orville Wright,developing new technologies,CS+DS,0.2120330650348654
Zac Efron,making insipid musicals,CS+DS,0.36631465700070504
Al Gore,lecturing about climate change,CS+DS,0.2784721685678722
Thomas "Neo" Anderson,hacking into corporate mainframes,DS,0.3516335811154449
Bruce Wayne,maintaining a secret identity,DS,0.37829084910437083
Lucifer,promoting wickedness,DS,0.3955185475698588
Jesus Christ,preaching tolerance,CS+DS,0.3826035342733384
Hercule Poirot,extracting confessions,DS,0.13584262187340396
Jeff "Comic Book Guy" Albertson,selling comic books,DS,0.17018496862550042
Jimi Hendrix,playing rock guitar,CS,0.22375819758938614
Mayor Joe Quimby,taking bribes from organized crime,DS,0.3368769888177767
Chewbacca,piloting the Millenium Falcon,DS,0.10981513685836515
Sinead O'Connor,singing pop songs,CS,0.22905885107228607
Hans Moleman,getting run over by cars,DS,0.18385539951663438
Woody Allen,starring in comedies,CS+DS,0.2665925497630965
Aristotle,teaching the next generation,CS,0.2675349710395448
Emmanuel Macron,campaigning for the presidency,CS,0.026383423803140075
Morpheus,searching for the messiah,DS,0.3018542697491242
Oprah Winfrey,interviewing politicians,CS+DS,0.3312138819603098
Selma Bouvier,clipping coupons,DS,0.19174476080785516
Ophelia,talking in riddles,DS,0.389504333222502
Han Solo,smuggling contraband,DS,0.3486494070647764
Joe Biden,plagiarizing political speeches,CS,0.34988356690562966
Ariana Grande,writing pop songs,CS+DS,0.37975866373089434
Arnold Schwarzenegger,making action movies,CS,0.3636250769568216
Jimmy Stewart,starring in Hollywood movies,CS,0.374276882739096
Cicero,giving speeches,CS,0.39607052562406286
Justin Timberlake,singing to teenagers,CS,0.09275774854410067
Elton John,peacocking in fancy clothes,CS+DS,0.2803222125221992
Piers Morgan,interviewing politicians,CS,0.08439888484446227
Jerry Lee Lewis,marrying underage girls,CS,0.19449231472152795
The Artful Dodger,picking pockets,DS,0.37656643752200497
Tyler Durden,attacking consumerism,DS,0.21674314098340444
Judge Judy Sheindlin,delivering judgments,CS,0.3632691532590909
Sylvester Stallone,making action movies,CS,0.3662856679881472
John Lennon,singing pop songs,CS+DS,0.3717813446430528
Tom Wolfe,writing modern fiction,CS,0.36621768661713633
Roger Federer,winning tennis grand slams,CS,0.22522078325885686
Albus Dumbledore,studying magic tricks,DS,0.09122491800563552
Jor El,making escape plans,DS,0.2906177700780174
Mad Max Rockatansky,avenging loved ones,DS,0.29434468999297847
Monica Lewinsky,causing political scandals,CS,0.35584677323754227
Judge Judy Sheindlin,judging legal cases,CS,0.3955835218066802
Walt Disney,making cartoons,CS,0.05543326916689456
Green Lantern,foiling the schemes of evil villains,DS,0.11985835803499251
Hellboy,hunting demons,DS,0.21408894415020682
Norma Desmond,clinging to past dreams,DS,0.3989082443288895
Anthony Bourdain,eating exotic foods,CS,0.38375451317109
Stephen Hawking,transcending physical limits,CS+DS,0.3950382051535723
Adrian Monk,tricking criminals,DS,0.15629568104143438
Mr. Spock,studying science,DS,0.3730002162159817
Mahatma Gandhi,promoting vegetarianism,CS+DS,0.3507993088068634
Helen of Troy,worrying about adultery,DS,0.3932787367953797
Bruce Wayne,attending cocktail parties,DS,0.3595979927872666
H.P. Lovecraft,writing horror stories,CS,0.2572586241781901
Jack Bauer,tracking down terrorists,DS,0.3938870196066019
Amy Winehouse,singing torch songs,CS,0.13578318469938072
Leonardo DiCaprio,starring in Hollywood movies,CS,0.1239629908089305
Albus Dumbledore,teaching magic,DS,0.37178067568487266
Dr. Dre,singing Hipbop songs,CS+DS,0.3680901821818611
Lord Byron,womanizing,CS+DS,0.3838644356940395
Richard Branson,selling airline seats,CS,0.16753344587447597
Lex Luthor,making money,DS,0.30417538252701554
Dr. Greg House,solving mysteries,DS,0.1243232387100828
Kent Brockman,reading the news,DS,0.06310440228896265
Ray Kroc,running a multinational corporation,CS,0.3930338673745565
John Wayne,starring in cowboy movies,CS,0.3787698773627828
Buffy Summers,hunting demons,DS,0.1882054399973212
Jamie Oliver,cooking dinners,CS+DS,0.377000524475751
Frank Columbo,extracting confessions,DS,0.3264830000270786
Rico Tubbs,preventing crime,DS,0.39802525036522085
Eminem,writing rap songs,CS,0.012341756244215357
Mr. Darcy,making condescending remarks,DS,0.27607187547481604
Dr. Julius No,collecting stamps,DS,0.34238739420513076
Michael Jackson,singing pop songs,CS,0.019620037812917383
Barry White,singing romantic songs,CS+DS,0.3921430014091578
Mark Fuhrman,lying on the stand,CS,0.39891100126223084
Wilson "Kingpin" Fisk,running a crime family,DS,0.3343032161966736
Noam Chomsky,promoting political causes,CS+DS,0.33085448747566254
Auric Goldfinger,devising evil schemes,DS,0.2806201797377824
Tyler Durden,making soap,DS,0.39647914615844265
Christian Grey,womanizing,DS,0.3603761702938848
Lois Lane,reporting for The Daily Planet,DS,0.2019321951247492
Daffy Duck,spitting while speaking,DS,0.03923101887330214
Lisa Simpson,over-achieving at school,DS,0.34079332589070216
Tom Jones,recording pop songs,CS+DS,0.2257404563541332
Buzz Aldrin,piloting a spaceship,CS+DS,0.3785779101297401
Auric Goldfinger,cheating at golf,DS,0.2912283723116272
Spartacus,spreading revolution,DS,0.3953616455276678
Merlin,teaching magic,DS,0.1802120926414496
Batman,punishing criminals,DS,0.3956049530015917
Justin Timberlake,entertaining teenagers,CS,0.18059611870231154
Gordon Gekko,launching hostile takeovers,DS,0.33244964868027893
Fletcher Christian,plotting mutinies,CS,0.15746951168204076
Christiane Amanpour,interviewing politicians,CS,0.3546711228096265
Cardinal Richelieu,plotting strategies,CS,0.37448451365327595
Elvis Presley,frying peanut-butter and banana sandwiches,CS+DS,0.37403838667743405
Gordon Gekko,making money,DS,0.2070583181573834
Merlin,casting magic spells,DS,0.39829385475074514
Bjork,writing pop songs,CS+DS,0.08881765799364959
Eric Clapton,writing blues songs,CS+DS,0.2977051709748706
Leon Trotsky,spreading revolution,CS,0.3929371250419427
Daffy Duck,chasing rabbits,DS,0.33380264419218314
Joaquin Phoenix,starring in action movies,CS+DS,0.38312505852786566
Leni Riefenstahl,promoting totalitarianism,CS,0.22940650055652922
Morgana Le Fay,performing magic tricks,DS,0.17786712939999424
Kobe Bryant,making dunk shots,CS+DS,0.022166410609594785
Edward Scissorhands,making ice sculptures,DS,0.36952842115866513
Bruce Banner,flying into a rage,DS,0.37650144020261694
R2D2,fighting for the rebel alliance,DS,0.3719676835969232
Amy Schumer,doing stand-up,CS+DS,0.3761850107266346
Perry Mason,solving crimes,DS,0.2949927712147563
Jeff Bezos,running a business empire,CS,0.3387282362466603
Captain America,promoting American values,DS,0.34219979082505275
Jack Bauer,punishing terrorists,DS,0.2681446034393015
Del Boy Trotter,selling tat,DS,0.26253302965630576
Jack The Ripper,eluding capture,CS,0.12652306537190147
Ryan Reynolds,making dumb comedies,CS,0.0874213337280357
Jim Jones,organizing mass suicides,CS,0.2458490810676641
Helen of Troy,preparing for war,DS,0.34511137844058715
Fred Astaire,enjoying ball-room dancing,CS,0.39659470052778534
Adrian Monk,obsessively washing hands,DS,0.15642749336553383
Lex Luthor,collecting green Kryponite,DS,0.34906808741311934
Lex Luthor,striving for world domination,DS,0.19463452839537443
Mick Jagger,gyrating hips,CS,0.2079941825944814
JD Salinger,writing modern fiction,CS+DS,0.3712852860420753
